,group,variable,month,TOTAL MUJER EMBARAZADA VIVAX,TOTAL MUJER EMBARAZADA VIVAX,TOTAL MUJER EMBARAZADA FALCIPARUM,TOTAL MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
HUACARETA,malaria,total mujer embarazada,2015-01-01,0,1,0,0,0,1,1
PADILLA,malaria,total mujer embarazada,2015-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,total mujer embarazada,2015-01-01,0,1,0,0,0,1,1
SAIPINA,malaria,total mujer embarazada,2015-01-01,0,7,0,0,0,7,7
SAN PEDRO(PND),malaria,total mujer embarazada,2015-01-01,0,1,0,0,0,1,1
YACUIBA,malaria,total mujer embarazada,2015-01-01,0,11,0,0,0,11,11
INGAVI (HUMAITA),malaria,total mujer embarazada,2015-02-01,0,1,0,0,0,1,1
SAIPINA,malaria,total mujer embarazada,2015-02-01,0,8,0,0,0,8,8
YACUIBA,malaria,total mujer embarazada,2015-02-01,0,5,0,0,0,5,5
GUAYARAMERIN,malaria,total mujer embarazada,2015-03-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total mujer embarazada,2015-03-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total mujer embarazada,2015-03-01,0,2,0,0,0,2,2
PORVENIR,malaria,total mujer embarazada,2015-03-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,total mujer embarazada,2015-03-01,0,1,0,0,0,1,1
SAIPINA,malaria,total mujer embarazada,2015-03-01,0,8,0,0,0,8,8
VILLA NUEVA (LOMA ALTA),malaria,total mujer embarazada,2015-03-01,0,1,0,0,0,1,1
YACUIBA,malaria,total mujer embarazada,2015-03-01,0,10,0,0,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),malaria,total mujer embarazada,2015-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total mujer embarazada,2015-04-01,0,4,0,0,0,4,4
SAIPINA,malaria,total mujer embarazada,2015-04-01,0,10,0,0,0,10,10
VILLA NUEVA (LOMA ALTA),malaria,total mujer embarazada,2015-04-01,0,1,0,0,0,1,1
YACUIBA,malaria,total mujer embarazada,2015-04-01,0,13,0,0,0,13,13
