,group,variable,month,TOTAL DE 5 AÑOS Y MÁS VIVAX,TOTAL DE 5 AÑOS Y MÁS VIVAX,TOTAL DE 5 AÑOS Y MÁS FALCIPARUM,TOTAL DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,total de 5 anos y mas,2015-01-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,total de 5 anos y mas,2015-01-01,4,1,0,0,4,1,5
COBIJA,malaria,total de 5 anos y mas,2015-01-01,2,4,0,0,2,4,6
CONCEPCION,malaria,total de 5 anos y mas,2015-01-01,12,19,0,0,12,19,31
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-01-01,10,8,0,0,10,8,18
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-01-01,49,23,5,1,54,24,78
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-01-01,9,5,0,0,9,5,14
LA PAZ,malaria,total de 5 anos y mas,2015-01-01,1,0,0,0,1,0,1
MAGDALENA,malaria,total de 5 anos y mas,2015-01-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,total de 5 anos y mas,2015-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-01-01,3,2,0,0,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-01-01,35,11,0,0,35,11,46
PADILLA,malaria,total de 5 anos y mas,2015-01-01,1,0,0,0,1,0,1
PORVENIR,malaria,total de 5 anos y mas,2015-01-01,12,6,0,0,12,6,18
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-01-01,6,7,0,0,6,7,13
PUERTO RICO,malaria,total de 5 anos y mas,2015-01-01,9,3,0,0,9,3,12
RIBERALTA,malaria,total de 5 anos y mas,2015-01-01,76,31,0,1,76,32,108
SAIPINA,malaria,total de 5 anos y mas,2015-01-01,16,23,0,0,16,23,39
SAN CARLOS,malaria,total de 5 anos y mas,2015-01-01,4,3,0,0,4,3,7
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-01-01,4,2,0,0,4,2,6
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-01-01,1,0,0,0,1,0,1
