municipality,group,variable,month,"Tratamientos terminados en el mes, en niños (as) de 1 año a 14 años de edad",TOTAL
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,5,5
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,3,3
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
SAMAIPATA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,5,5
SAN LORENZO(TJA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,0,0
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,5,5
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,3,3
URIONDO (A. CONCEPCION),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
SAMAIPATA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,2,2
