municipality,group,variable,month,"Tratamientos terminados en el mes, de recién nacidos a menores de 1 año",TOTAL
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-01-01,0,0
CAMARGO,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-02-01,1,1
YACUIBA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-02-01,2,2
PASORAPA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-03-01,4,4
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-03-01,0,0
VILLA MONTES,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-03-01,3,3
YOTALA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-03-01,4,4
CAMARGO,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-04-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-04-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-05-01,2,2
MONTERO,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-05-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-05-01,3,3
AIQUILE,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-06-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-06-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-06-01,2,2
MIZQUE,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-07-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-07-01,1,1
SAN LORENZO(TJA),chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-07-01,0,0
AIQUILE,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-08-01,1,1
COCHABAMBA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-08-01,1,1
ENTRE RIOS,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-08-01,1,1
MONTERO,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-09-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-09-01,1,1
MIZQUE,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-10-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-10-01,2,2
WARNES,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-10-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-11-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-11-01,0,0
AIQUILE,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-12-01,2,2
MONTERO,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-12-01,1,1
PUERTO VILLARROEL,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-12-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-12-01,3,3
TARIJA,chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-12-01,9,9
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, de recien nacidos a menores de 1 ano",2009-12-01,1,1
