municipality,group,variable,month,"Tratamientos iniciados en el mes, de recien nacido a menores de 1 año",TOTAL
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-01-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-01-01,3,3
COLCAPIRHUA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-02-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-02-01,2,2
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-02-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-02-01,4,4
YOTALA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-02-01,7,7
ARQUE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,6,6
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,1,1
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,2,2
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,0,0
VILLA MONTES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-03-01,3,3
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-04-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-04-01,3,3
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-04-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-04-01,4,4
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-04-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
PORTACHUELO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
PUNATA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
