municipality,group,variable,month,"Tratamientos iniciados en el mes, en niños (as) de 1 año a 14 años de edad",TOTAL
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
COTAGAITA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,5,5
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,7,7
MOJOCOYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,11,11
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,0,0
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,6,6
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-01-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
GUTIERREZ,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,9,9
