,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-01-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-02-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-03-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-04-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-04-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-04-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-04-01,0,1,0,0,0,1,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-04-01,1,0,0,0,1,0,1
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-04-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-05-01,0,0,0,4,0,4,4
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-05-01,1,0,0,0,1,0,1
VINTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-05-01,0,1,0,0,0,1,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-05-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-06-01,1,1,0,0,1,1,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-06-01,2,0,0,1,2,1,3
