,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-01-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-03-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-03-01,5.0,1.0,1.0,1.0,6.0,2.0,8.0
MOROCHATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA ASUNTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LURIBAY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-04-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-04-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-04-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2018-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
