,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,2,0,0,0,2,0,2
GENERAL SAAVEDRA,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,0,1,0,0,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,1,1,0,0,1,1,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,0,0,0,2,0,2,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,1,2,0,0,1,2,3
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2018-01-01,0,1,0,0,0,1,1
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,0,0,0,1,0,1,1
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,0,0,1,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,0,0,1,0,1,0,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,0,1,1,0,1,1,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,1,0,2,1,3,1,4
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2018-02-01,0,1,0,1,0,2,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,2,0,0,0,2,0,2
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,0,1,0,1,0,2,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2018-03-01,0,0,1,0,1,0,1
