,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,0,1,0,1,1
CKOCHAS,chagas,tratamientos de 15 anos y mas,2018-01-01,0,2,0,0,0,2,2
CLIZA,chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2018-01-01,23,52,8,15,31,67,98
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,0,1,0,1,1
LA PAZ,chagas,tratamientos de 15 anos y mas,2018-01-01,1,0,0,0,1,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2018-01-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2018-01-01,2,1,2,3,4,4,8
OMEREQUE,chagas,tratamientos de 15 anos y mas,2018-01-01,0,1,0,1,0,2,2
PUCARA,chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,0,1,0,1,1
PUNATA,chagas,tratamientos de 15 anos y mas,2018-01-01,1,3,0,0,1,3,4
SACABA,chagas,tratamientos de 15 anos y mas,2018-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2018-01-01,2,4,0,0,2,4,6
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,1,1,1,1,2
SUCRE,chagas,tratamientos de 15 anos y mas,2018-01-01,36,46,0,0,36,46,82
TARIJA,chagas,tratamientos de 15 anos y mas,2018-01-01,11,10,2,4,13,14,27
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2018-01-01,0,0,0,1,0,1,1
TOLATA,chagas,tratamientos de 15 anos y mas,2018-01-01,0,1,0,0,0,1,1
