,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS REPETIDO,PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 21 a 59 anos,2012-01-01,43,130,4,0,47,130,177
ACHACACHI,consulta externa,personas de 21 a 59 anos,2012-01-01,237,508,23,31,260,539,799
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2012-01-01,26,106,1,0,27,106,133
AIQUILE,consulta externa,personas de 21 a 59 anos,2012-01-01,154,357,21,45,175,402,577
ALALAY,consulta externa,personas de 21 a 59 anos,2012-01-01,11,29,1,5,12,34,46
ALCALA,consulta externa,personas de 21 a 59 anos,2012-01-01,58,164,0,2,58,166,224
ALTO BENI,consulta externa,personas de 21 a 59 anos,2012-01-01,121,244,6,9,127,253,380
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2012-01-01,52,121,0,6,52,127,179
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2012-01-01,77,79,3,2,80,81,161
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2012-01-01,42,32,0,2,42,34,76
ANZALDO,consulta externa,personas de 21 a 59 anos,2012-01-01,24,46,1,0,25,46,71
APOLO,consulta externa,personas de 21 a 59 anos,2012-01-01,120,256,6,16,126,272,398
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2012-01-01,11,61,0,1,11,62,73
ARANI,consulta externa,personas de 21 a 59 anos,2012-01-01,64,80,0,3,64,83,147
ARBIETO,consulta externa,personas de 21 a 59 anos,2012-01-01,35,124,4,19,39,143,182
ARQUE,consulta externa,personas de 21 a 59 anos,2012-01-01,57,224,4,11,61,235,296
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2012-01-01,140,191,1,1,141,192,333
ATOCHA,consulta externa,personas de 21 a 59 anos,2012-01-01,769,756,155,118,924,874,1798
AUCAPATA,consulta externa,personas de 21 a 59 anos,2012-01-01,37,65,1,2,38,67,105
AYATA,consulta externa,personas de 21 a 59 anos,2012-01-01,99,168,4,7,103,175,278
AYO AYO,consulta externa,personas de 21 a 59 anos,2012-01-01,94,75,2,1,96,76,172
