,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS REPETIDO,PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 20 anos,2012-01-01,17,25,1,0,18,25,43
ACHACACHI,consulta externa,personas de 10 a 20 anos,2012-01-01,92,126,15,7,107,133,240
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2012-01-01,13,28,0,0,13,28,41
AIQUILE,consulta externa,personas de 10 a 20 anos,2012-01-01,67,53,3,5,70,58,128
ALALAY,consulta externa,personas de 10 a 20 anos,2012-01-01,7,3,0,0,7,3,10
ALCALA,consulta externa,personas de 10 a 20 anos,2012-01-01,39,46,0,1,39,47,86
ALTO BENI,consulta externa,personas de 10 a 20 anos,2012-01-01,57,75,3,4,60,79,139
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2012-01-01,26,29,1,1,27,30,57
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2012-01-01,23,35,0,0,23,35,58
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2012-01-01,9,14,0,0,9,14,23
ANZALDO,consulta externa,personas de 10 a 20 anos,2012-01-01,5,11,0,0,5,11,16
APOLO,consulta externa,personas de 10 a 20 anos,2012-01-01,41,77,2,4,43,81,124
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2012-01-01,2,10,0,0,2,10,12
ARANI,consulta externa,personas de 10 a 20 anos,2012-01-01,38,54,0,0,38,54,92
ARBIETO,consulta externa,personas de 10 a 20 anos,2012-01-01,15,43,1,0,16,43,59
ARQUE,consulta externa,personas de 10 a 20 anos,2012-01-01,27,70,4,2,31,72,103
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 20 anos,2012-01-01,113,111,0,1,113,112,225
ATOCHA,consulta externa,personas de 10 a 20 anos,2012-01-01,224,307,42,56,266,363,629
AUCAPATA,consulta externa,personas de 10 a 20 anos,2012-01-01,13,15,0,1,13,16,29
AYATA,consulta externa,personas de 10 a 20 anos,2012-01-01,21,52,0,0,21,52,73
AYO AYO,consulta externa,personas de 10 a 20 anos,2012-01-01,18,21,0,0,18,21,39
