,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2012-01-01,10,11,1,0,11,11,22
ACHACACHI,consulta externa,personas de 5 a 9 anos,2012-01-01,32,39,3,2,35,41,76
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2012-01-01,7,13,0,0,7,13,20
AIQUILE,consulta externa,personas de 5 a 9 anos,2012-01-01,35,30,1,8,36,38,74
ALALAY,consulta externa,personas de 5 a 9 anos,2012-01-01,5,3,0,1,5,4,9
ALCALA,consulta externa,personas de 5 a 9 anos,2012-01-01,14,19,1,0,15,19,34
ALTO BENI,consulta externa,personas de 5 a 9 anos,2012-01-01,20,22,3,0,23,22,45
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2012-01-01,6,5,3,0,9,5,14
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2012-01-01,12,9,0,0,12,9,21
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2012-01-01,8,19,0,1,8,20,28
ANZALDO,consulta externa,personas de 5 a 9 anos,2012-01-01,6,4,0,0,6,4,10
APOLO,consulta externa,personas de 5 a 9 anos,2012-01-01,25,21,1,1,26,22,48
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2012-01-01,0,2,0,0,0,2,2
ARANI,consulta externa,personas de 5 a 9 anos,2012-01-01,8,16,0,1,8,17,25
ARBIETO,consulta externa,personas de 5 a 9 anos,2012-01-01,19,9,2,0,21,9,30
ARQUE,consulta externa,personas de 5 a 9 anos,2012-01-01,14,12,0,0,14,12,26
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2012-01-01,59,74,3,1,62,75,137
ATOCHA,consulta externa,personas de 5 a 9 anos,2012-01-01,143,176,27,27,170,203,373
AUCAPATA,consulta externa,personas de 5 a 9 anos,2012-01-01,8,4,0,0,8,4,12
AYATA,consulta externa,personas de 5 a 9 anos,2012-01-01,16,21,1,0,17,21,38
AYO AYO,consulta externa,personas de 5 a 9 anos,2012-01-01,4,6,0,0,4,6,10
