,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2012-01-01,14,35,0,0,14,35,49
ACHACACHI,consulta externa,personas de 60 anos y mas,2012-01-01,304,319,88,82,392,401,793
ACHOCALLA,consulta externa,personas de 60 anos y mas,2012-01-01,25,13,5,1,30,14,44
AIQUILE,consulta externa,personas de 60 anos y mas,2012-01-01,74,79,23,15,97,94,191
ALALAY,consulta externa,personas de 60 anos y mas,2012-01-01,6,8,0,1,6,9,15
ALCALA,consulta externa,personas de 60 anos y mas,2012-01-01,30,65,0,3,30,68,98
ALTO BENI,consulta externa,personas de 60 anos y mas,2012-01-01,90,35,19,6,109,41,150
ANCORAIMES,consulta externa,personas de 60 anos y mas,2012-01-01,128,137,4,4,132,141,273
ANDAMARCA,consulta externa,personas de 60 anos y mas,2012-01-01,51,57,6,1,57,58,115
ANTEQUERA,consulta externa,personas de 60 anos y mas,2012-01-01,21,29,0,0,21,29,50
ANZALDO,consulta externa,personas de 60 anos y mas,2012-01-01,25,34,1,5,26,39,65
APOLO,consulta externa,personas de 60 anos y mas,2012-01-01,101,111,9,12,110,123,233
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2012-01-01,9,18,1,1,10,19,29
ARANI,consulta externa,personas de 60 anos y mas,2012-01-01,24,46,2,4,26,50,76
ARBIETO,consulta externa,personas de 60 anos y mas,2012-01-01,35,56,16,26,51,82,133
ARQUE,consulta externa,personas de 60 anos y mas,2012-01-01,22,28,1,6,23,34,57
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2012-01-01,78,77,2,4,80,81,161
ATOCHA,consulta externa,personas de 60 anos y mas,2012-01-01,89,127,18,20,107,147,254
AUCAPATA,consulta externa,personas de 60 anos y mas,2012-01-01,35,39,0,9,35,48,83
AYATA,consulta externa,personas de 60 anos y mas,2012-01-01,68,57,11,7,79,64,143
AYO AYO,consulta externa,personas de 60 anos y mas,2012-01-01,65,68,3,3,68,71,139
