,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,72,2,72,2,74
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,1,18,1,19
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,40,0,40,0,40
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,1,9,1,10
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,6,2,6,8
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,0,5,0,5
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,4,3,4,7
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,0,13,0,13
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,9,9,9,18
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,16,0,16,0,16
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,1,11,1,12
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,0,8,0,8
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,28,1,28,1,29
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,24,1,24,1,25
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,0,9,0,9
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,26,0,26,0,26
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,3,13,3,16
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,14,0,14,0,14
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,1,10,1,11
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,47,0,47,0,47
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,46,3,46,3,49
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,0,7,0,7
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,2,2,2,4
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,0,8,0,8
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,7,2,7,2,9
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,35,1,35,1,36
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,1,13,1,14
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,3,8,3,11
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,1,5,1,6
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,2,5,2,7
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,11,1,11,1,12
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,26,1,26,1,27
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,72,1,72,1,73
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,37,0,37,0,37
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,0,4,0,4
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,49,0,49,0,49
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,76,5,76,5,81
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,19,2,19,2,21
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,8,2,8,2,10
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,50,9,50,9,59
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,2,3,2,5
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,55,0,55,0,55
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,19,7,19,7,26
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,43,0,43,0,43
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,0,9,0,9
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,48,2,48,2,50
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,1,6,1,7
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,1,1,1,2
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,21,4,21,4,25
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,42,0,42,0,42
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,93,0,93,0,93
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,14,10,14,24
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1740,0,1740,0,1740
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,120,0,120,0,120
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,9,0,9,0,9
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,36,0,36,0,36
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,15,23,15,23,38
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,0,10,0,10
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,17,13,17,30
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,6,0,6,0,6
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,36,0,36,0,36
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,1,2,1,3
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,39,0,39,0,39
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,19,0,19,0,19
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,0,13,0,13
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,2,4,2,6
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,22,0,22,0,22
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,5,3,5,3,8
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,24,0,24,0,24
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,119,0,119,0,119
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,38,0,38,0,38
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,0,1,0,1
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,10,2,10,2,12
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,1,18,1,19
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,3,0,3,0,3
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,2,1,2,1,3
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,13,0,13,0,13
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1569,0,1569,0,1569
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,1,1,1,1,2
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,26,0,26,0,26
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,18,1,18,1,19
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,74,1,74,1,75
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-01-01,4,2,4,2,6
