,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,consultas prenatales,repetidas,2010-01-01,34,5,34,5,39
ACHACACHI,consultas prenatales,repetidas,2010-01-01,242,14,242,14,256
ACHOCALLA,consultas prenatales,repetidas,2010-01-01,58,0,58,0,58
AIQUILE,consultas prenatales,repetidas,2010-01-01,192,4,192,4,196
ALALAY,consultas prenatales,repetidas,2010-01-01,5,4,5,4,9
ALCALA,consultas prenatales,repetidas,2010-01-01,12,2,12,2,14
ALTO BENI,consultas prenatales,repetidas,2010-01-01,36,8,36,8,44
ANCORAIMES,consultas prenatales,repetidas,2010-01-01,25,17,25,17,42
ANDAMARCA,consultas prenatales,repetidas,2010-01-01,17,0,17,0,17
ANTEQUERA,consultas prenatales,repetidas,2010-01-01,10,0,10,0,10
ANZALDO,consultas prenatales,repetidas,2010-01-01,21,5,21,5,26
APOLO,consultas prenatales,repetidas,2010-01-01,79,11,79,11,90
ARAMPAMPA,consultas prenatales,repetidas,2010-01-01,15,4,15,4,19
ARANI,consultas prenatales,repetidas,2010-01-01,73,6,73,6,79
ARBIETO,consultas prenatales,repetidas,2010-01-01,60,2,60,2,62
ARQUE,consultas prenatales,repetidas,2010-01-01,66,0,66,0,66
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2010-01-01,213,0,213,0,213
ATOCHA,consultas prenatales,repetidas,2010-01-01,58,0,58,0,58
AUCAPATA,consultas prenatales,repetidas,2010-01-01,16,0,16,0,16
AYATA,consultas prenatales,repetidas,2010-01-01,38,2,38,2,40
AYO AYO,consultas prenatales,repetidas,2010-01-01,17,0,17,0,17
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2010-01-01,102,1,102,1,103
AZURDUY,consultas prenatales,repetidas,2010-01-01,47,10,47,10,57
BATALLAS,consultas prenatales,repetidas,2010-01-01,67,0,67,0,67
BAURES,consultas prenatales,repetidas,2010-01-01,34,0,34,0,34
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2010-01-01,6,0,6,0,6
BELEN DE URMIRI,consultas prenatales,repetidas,2010-01-01,2,2,2,2,4
BELLA FLOR,consultas prenatales,repetidas,2010-01-01,8,7,8,7,15
BERMEJO,consultas prenatales,repetidas,2010-01-01,312,0,312,0,312
BETANZOS,consultas prenatales,repetidas,2010-01-01,172,22,172,22,194
BOLIVAR,consultas prenatales,repetidas,2010-01-01,26,2,26,2,28
BOLPEBRA,consultas prenatales,repetidas,2010-01-01,6,0,6,0,6
BOYUIBE,consultas prenatales,repetidas,2010-01-01,20,4,20,4,24
BUENA VISTA,consultas prenatales,repetidas,2010-01-01,52,1,52,1,53
CABEZAS,consultas prenatales,repetidas,2010-01-01,142,0,142,0,142
CAIROMA,consultas prenatales,repetidas,2010-01-01,46,3,46,3,49
"CAIZA ""D""",consultas prenatales,repetidas,2010-01-01,45,3,45,3,48
CAJUATA,consultas prenatales,repetidas,2010-01-01,25,7,25,7,32
CALACOTO,consultas prenatales,repetidas,2010-01-01,7,6,7,6,13
CALAMARCA,consultas prenatales,repetidas,2010-01-01,62,5,62,5,67
CAMARGO,consultas prenatales,repetidas,2010-01-01,120,9,120,9,129
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2010-01-01,17,3,17,3,20
CAMIRI,consultas prenatales,repetidas,2010-01-01,311,0,311,0,311
CAPINOTA,consultas prenatales,repetidas,2010-01-01,202,0,202,0,202
CAQUIAVIRI,consultas prenatales,repetidas,2010-01-01,33,0,33,0,33
CARACOLLO,consultas prenatales,repetidas,2010-01-01,86,6,86,6,92
CARANAVI,consultas prenatales,repetidas,2010-01-01,282,7,282,7,289
CARAPARI,consultas prenatales,repetidas,2010-01-01,95,2,95,2,97
CARIPUYO,consultas prenatales,repetidas,2010-01-01,50,2,50,2,52
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2010-01-01,21,0,21,0,21
CATACORA,consultas prenatales,repetidas,2010-01-01,5,0,5,0,5
CHACARILLA,consultas prenatales,repetidas,2010-01-01,2,1,2,1,3
CHALLAPATA,consultas prenatales,repetidas,2010-01-01,212,19,212,19,231
CHAQUI,consultas prenatales,repetidas,2010-01-01,10,10,10,10,20
CHARAGUA,consultas prenatales,repetidas,2010-01-01,176,0,176,0,176
CHARAÑA,consultas prenatales,repetidas,2010-01-01,9,1,9,1,10
CHAYANTA,consultas prenatales,repetidas,2010-01-01,46,22,46,22,68
CHIMORE,consultas prenatales,repetidas,2010-01-01,154,0,154,0,154
CHIPAYA,consultas prenatales,repetidas,2010-01-01,4,0,4,0,4
CHOQUE COTA,consultas prenatales,repetidas,2010-01-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2010-01-01,158,1,158,1,159
CHUMA,consultas prenatales,repetidas,2010-01-01,24,7,24,7,31
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2010-01-01,23,0,23,0,23
CKOCHAS,consultas prenatales,repetidas,2010-01-01,66,5,66,5,71
CLIZA,consultas prenatales,repetidas,2010-01-01,224,0,224,0,224
COBIJA,consultas prenatales,repetidas,2010-01-01,547,6,547,6,553
COCAPATA,consultas prenatales,repetidas,2010-01-01,32,39,32,39,71
COCHABAMBA,consultas prenatales,repetidas,2010-01-01,6339,0,6339,0,6339
COIPASA,consultas prenatales,repetidas,2010-01-01,4,0,4,0,4
COLCAPIRHUA,consultas prenatales,repetidas,2010-01-01,555,0,555,0,555
"COLCHA ""K""",consultas prenatales,repetidas,2010-01-01,19,4,19,4,23
COLLANA,consultas prenatales,repetidas,2010-01-01,9,0,9,0,9
COLOMI,consultas prenatales,repetidas,2010-01-01,150,0,150,0,150
COLPA BELGICA,consultas prenatales,repetidas,2010-01-01,50,0,50,0,50
COLQUECHACA,consultas prenatales,repetidas,2010-01-01,56,81,56,81,137
COLQUENCHA,consultas prenatales,repetidas,2010-01-01,42,0,42,0,42
COLQUIRI,consultas prenatales,repetidas,2010-01-01,46,50,46,50,96
COMANCHE,consultas prenatales,repetidas,2010-01-01,9,0,9,0,9
COMARAPA,consultas prenatales,repetidas,2010-01-01,133,0,133,0,133
COMBAYA,consultas prenatales,repetidas,2010-01-01,3,5,3,5,8
CONCEPCION,consultas prenatales,repetidas,2010-01-01,100,0,100,0,100
COPACABANA,consultas prenatales,repetidas,2010-01-01,65,12,65,12,77
CORIPATA,consultas prenatales,repetidas,2010-01-01,86,1,86,1,87
CORO CORO,consultas prenatales,repetidas,2010-01-01,16,7,16,7,23
COROICO,consultas prenatales,repetidas,2010-01-01,102,0,102,0,102
CORQUE,consultas prenatales,repetidas,2010-01-01,20,4,20,4,24
COTAGAITA,consultas prenatales,repetidas,2010-01-01,115,0,115,0,115
COTOCA,consultas prenatales,repetidas,2010-01-01,380,0,380,0,380
CUATRO CAÑADAS,consultas prenatales,repetidas,2010-01-01,144,0,144,0,144
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2010-01-01,6,0,6,0,6
CUEVO,consultas prenatales,repetidas,2010-01-01,18,1,18,1,19
CULPINA,consultas prenatales,repetidas,2010-01-01,87,9,87,9,96
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2010-01-01,31,0,31,0,31
CURVA,consultas prenatales,repetidas,2010-01-01,5,2,5,2,7
DESAGUADERO,consultas prenatales,repetidas,2010-01-01,27,0,27,0,27
EL ALTO,consultas prenatales,repetidas,2010-01-01,6068,0,6068,0,6068
EL CHORO,consultas prenatales,repetidas,2010-01-01,12,5,12,5,17
EL PUENTE(STC),consultas prenatales,repetidas,2010-01-01,78,0,78,0,78
EL PUENTE(TJA),consultas prenatales,repetidas,2010-01-01,80,5,80,5,85
EL TORNO,consultas prenatales,repetidas,2010-01-01,388,0,388,0,388
EL VILLAR,consultas prenatales,repetidas,2010-01-01,22,1,22,1,23
ENTRE RIOS TRJ,consultas prenatales,repetidas,2010-01-01,121,3,121,3,124
ENTRE RIOS CBBA,consultas prenatales,repetidas,2010-01-01,185,0,185,0,185
ESCOMA,consultas prenatales,repetidas,2010-01-01,27,1,27,1,28
ESMERALDA,consultas prenatales,repetidas,2010-01-01,0,2,0,2,2
EUCALIPTUS,consultas prenatales,repetidas,2010-01-01,39,0,39,0,39
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2010-01-01,3,0,3,0,3
EXALTACION,consultas prenatales,repetidas,2010-01-01,8,0,8,0,8
FERNANDEZ ALONSO,consultas prenatales,repetidas,2010-01-01,102,0,102,0,102
FILADELFIA,consultas prenatales,repetidas,2010-01-01,7,0,7,0,7
GENERAL SAAVEDRA,consultas prenatales,repetidas,2010-01-01,83,0,83,0,83
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2010-01-01,44,3,44,3,47
GUANAY,consultas prenatales,repetidas,2010-01-01,84,0,84,0,84
GUAQUI,consultas prenatales,repetidas,2010-01-01,21,4,21,4,25
GUAYARAMERIN,consultas prenatales,repetidas,2010-01-01,355,17,355,17,372
GUTIERREZ,consultas prenatales,repetidas,2010-01-01,39,5,39,5,44
HUACARETA,consultas prenatales,repetidas,2010-01-01,31,4,31,4,35
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2010-01-01,9,6,9,6,15
HUACHACALLA,consultas prenatales,repetidas,2010-01-01,2,0,2,0,2
HUANUNI,consultas prenatales,repetidas,2010-01-01,279,0,279,0,279
HUARACAJE,consultas prenatales,repetidas,2010-01-01,36,0,36,0,36
HUARINA,consultas prenatales,repetidas,2010-01-01,15,0,15,0,15
HUAYLLAMARCA,consultas prenatales,repetidas,2010-01-01,19,0,19,0,19
HUMANATA,consultas prenatales,repetidas,2010-01-01,7,2,7,2,9
ICHOCA,consultas prenatales,repetidas,2010-01-01,10,12,10,12,22
ICLA,consultas prenatales,repetidas,2010-01-01,35,9,35,9,44
INCAHUASI,consultas prenatales,repetidas,2010-01-01,59,15,59,15,74
INGAVI (HUMAITA),consultas prenatales,repetidas,2010-01-01,9,0,9,0,9
