,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,4,2,4,6
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,41,6,41,6,47
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,1,12,1,13
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,18,1,18,1,19
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,1,0,1,1
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,4,4,4,8
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,9,8,9,8,17
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,1,2,1,3
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,0,11,0,11
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,2,7,2,9
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,1,11,1,12
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,15,0,15,0,15
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,15,0,15,0,15
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,8,1,8,1,9
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,18,0,18,0,18
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,19,1,19,1,20
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,3,0,3,3
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,14,0,14,0,14
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,18,3,18,3,21
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,1,2,1,3
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,13,0,13,0,13
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,2,5,2,7
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,0,10,0,10
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,29,0,29,0,29
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,30,3,30,3,33
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,15,0,15,0,15
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,22,2,22,2,24
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,44,1,44,1,45
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
CATACORA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
CHACARILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,30,4,30,4,34
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,34,0,34,0,34
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,8,1,8,1,9
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,25,0,25,0,25
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,0,10,0,10
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,2,6,2,8
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,1,11,1,12
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,3,4,3,7
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,19,0,19,0,19
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,44,0,44,0,44
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,9,11,9,20
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1212,0,1212,0,1212
COIPASA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,86,0,86,0,86
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,1,5,1,6
COLLANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,31,0,31,0,31
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,10,4,10,14
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,0,6,0,6
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,1,1,1,2
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,10,0,10,0,10
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,0,12,0,12
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,6,2,6,2,8
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,9,0,9,0,9
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,1,2,1,3
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,14,0,14,0,14
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,3,3,3,6
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,12,0,12,0,12
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,62,0,62,0,62
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,14,0,14,0,14
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,5,0,5,0,5
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,2,2,2,2,4
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,11,1,11,1,12
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,4,0,4,0,4
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,0,1,0,1,1
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1084,0,1084,0,1084
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,3,0,3,0,3
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,7,0,7,0,7
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,1,0,1,0,1
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-01-01,30,2,30,2,32
