,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,4,5,4,9
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,25,5,25,5,30
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,73,3,73,3,76
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,1,2,1,3
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,1,2,1,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,11,1,11,1,12
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,2,8,2,10
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,3,8,3,11
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,0,12,0,12
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,2,12,2,14
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,0,19,0,19
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,37,0,37,0,37
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,0,19,0,19
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,0,5,0,5
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,17,0,17,0,17
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,15,3,15,3,18
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,0,12,0,12
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,1,0,1,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,53,0,53,0,53
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,41,6,41,6,47
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,0,20,0,20
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,25,0,25,0,25
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,1,7,1,8
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,1,4,1,5
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,0,7,0,7
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,27,1,27,1,28
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,64,0,64,0,64
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,29,0,29,0,29
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,1,19,1,20
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,114,1,114,1,115
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,12,0,12,0,12
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,17,2,17,2,19
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,2,0,2,0,2
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,1,0,1,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,29,9,29,9,38
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,1,4,1,5
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,37,0,37,0,37
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,1,0,1,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,16,4,16,4,20
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,28,0,28,0,28
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,39,1,39,1,40
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,7,3,7,3,10
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,0,6,0,6
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,19,2,19,2,21
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,29,0,29,0,29
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,86,0,86,0,86
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,16,5,16,21
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,898,0,898,0,898
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,107,0,107,0,107
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,0,6,0,6
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,29,0,29,0,29
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,0,10,0,10
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,23,9,23,32
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,10,17,10,17,27
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,4,0,4,0,4
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,25,0,25,0,25
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,0,1,0,1,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,18,0,18,0,18
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,9,3,9,3,12
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,1,3,1,4
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,15,0,15,0,15
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,24,0,24,0,24
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,51,0,51,0,51
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,31,0,31,0,31
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,0,1,0,1
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,0,3,0,3
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,22,3,22,3,25
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,5,0,5,0,5
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,1,1,1,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,8,0,8,0,8
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,942,0,942,0,942
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,1,2,1,2,3
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,6,0,6,0,6
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,20,4,20,4,24
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,52,0,52,0,52
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,3,1,3,1,4
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-01-01,16,1,16,1,17
