,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,rabia,no de personas con esquema reducido completo,2022-01-01,2,0,2,0,2
ARBIETO,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
BATALLAS,rabia,no de personas con esquema reducido completo,2022-01-01,0,2,0,2,2
BUENA VISTA,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
CAJUATA,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
CAMIRI,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2022-01-01,3,2,3,2,5
CARAPARI,rabia,no de personas con esquema reducido completo,2022-01-01,2,0,2,0,2
CLIZA,rabia,no de personas con esquema reducido completo,2022-01-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema reducido completo,2022-01-01,44,51,44,51,95
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2022-01-01,3,4,3,4,7
COLQUENCHA,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
COMARAPA,rabia,no de personas con esquema reducido completo,2022-01-01,2,0,2,0,2
CONCEPCION,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema reducido completo,2022-01-01,10,6,10,6,16
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2022-01-01,0,3,0,3,3
DESAGUADERO,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
EL ALTO,rabia,no de personas con esquema reducido completo,2022-01-01,34,22,34,22,56
EL TORNO,rabia,no de personas con esquema reducido completo,2022-01-01,2,4,2,4,6
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2022-01-01,2,1,2,1,3
LA GUARDIA,rabia,no de personas con esquema reducido completo,2022-01-01,13,10,13,10,23
LA PAZ,rabia,no de personas con esquema reducido completo,2022-01-01,59,59,59,59,118
LAJA,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
MINEROS,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2022-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2022-01-01,5,2,5,2,7
OKINAWA,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
ORURO,rabia,no de personas con esquema reducido completo,2022-01-01,17,11,17,11,28
PORONGO,rabia,no de personas con esquema reducido completo,2022-01-01,2,1,2,1,3
PORTACHUELO,rabia,no de personas con esquema reducido completo,2022-01-01,4,3,4,3,7
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2022-01-01,5,4,5,4,9
ROBORE,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema reducido completo,2022-01-01,5,4,5,4,9
SAIPINA,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
SAMAIPATA,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
SAN ANDRES,rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2022-01-01,2,0,2,0,2
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2022-01-01,1,2,1,2,3
SAN JAVIER(STC),rabia,no de personas con esquema reducido completo,2022-01-01,0,1,0,1,1
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2022-01-01,3,0,3,0,3
SAN PEDRO,rabia,no de personas con esquema reducido completo,2022-01-01,1,1,1,1,2
