,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
APOLO,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
BERMEJO,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2022-01-01,2,1,2,1,3
COCHABAMBA,rabia,no de personas con esquema clasico completo,2022-01-01,18,7,18,7,25
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2022-01-01,2,0,2,0,2
COTOCA,rabia,no de personas con esquema clasico completo,2022-01-01,1,1,1,1,2
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2022-01-01,17,18,17,18,35
EL PUENTE(STC),rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
EL TORNO,rabia,no de personas con esquema clasico completo,2022-01-01,5,4,5,4,9
IXIAMAS,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2022-01-01,3,2,3,2,5
LA PAZ,rabia,no de personas con esquema clasico completo,2022-01-01,17,14,17,14,31
LAJA,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
PELECHUCO,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2022-01-01,215,167,215,167,382
PUCARANI,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2022-01-01,3,0,3,0,3
SAIPINA,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2022-01-01,2,1,2,1,3
SAN BUENA VENTURA,rabia,no de personas con esquema clasico completo,2022-01-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2022-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2022-01-01,67,53,67,53,120
SIPE SIPE,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
SORATA,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2022-01-01,14,10,14,10,24
TRINIDAD,rabia,no de personas con esquema clasico completo,2022-01-01,14,11,14,11,25
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2022-01-01,2,2,2,2,4
VIACHA,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2022-01-01,0,1,0,1,1
VILLAZON,rabia,no de personas con esquema clasico completo,2022-01-01,4,0,4,0,4
WARNES,rabia,no de personas con esquema clasico completo,2022-01-01,2,0,2,0,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2022-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2022-02-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema clasico completo,2022-02-01,0,2,0,2,2
CABEZAS,rabia,no de personas con esquema clasico completo,2022-02-01,0,2,0,2,2
CARAPARI,rabia,no de personas con esquema clasico completo,2022-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2022-02-01,7,9,7,9,16
COLQUIRI,rabia,no de personas con esquema clasico completo,2022-02-01,0,2,0,2,2
CONCEPCION,rabia,no de personas con esquema clasico completo,2022-02-01,1,0,1,0,1
COPACABANA,rabia,no de personas con esquema clasico completo,2022-02-01,0,1,0,1,1
CORIPATA,rabia,no de personas con esquema clasico completo,2022-02-01,0,1,0,1,1
