,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ANTEQUERA,rabia,no de personas que abandonaron esquema,2022-01-01,0,2,0,2,2
ARBIETO,rabia,no de personas que abandonaron esquema,2022-01-01,2,0,2,0,2
CARAPARI,rabia,no de personas que abandonaron esquema,2022-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2022-01-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2022-01-01,16,16,16,16,32
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2022-01-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2022-01-01,1,1,1,1,2
EL ALTO,rabia,no de personas que abandonaron esquema,2022-01-01,17,8,17,8,25
LA PAZ,rabia,no de personas que abandonaron esquema,2022-01-01,3,17,3,17,20
MONTERO,rabia,no de personas que abandonaron esquema,2022-01-01,3,0,3,0,3
ORURO,rabia,no de personas que abandonaron esquema,2022-01-01,7,3,7,3,10
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2022-01-01,2,2,2,2,4
SACABA,rabia,no de personas que abandonaron esquema,2022-01-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2022-01-01,4,1,4,1,5
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2022-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2022-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2022-01-01,2,0,2,0,2
SHINAOTA,rabia,no de personas que abandonaron esquema,2022-01-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2022-01-01,13,9,13,9,22
TARATA,rabia,no de personas que abandonaron esquema,2022-01-01,0,1,0,1,1
TARIJA,rabia,no de personas que abandonaron esquema,2022-01-01,2,1,2,1,3
TOLATA,rabia,no de personas que abandonaron esquema,2022-01-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2022-01-01,3,2,3,2,5
UNCIA,rabia,no de personas que abandonaron esquema,2022-01-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2022-01-01,2,0,2,0,2
YAPACANI,rabia,no de personas que abandonaron esquema,2022-01-01,1,1,1,1,2
BERMEJO,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
CAPINOTA,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
CHIMORE,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2022-02-01,1,1,1,1,2
CLIZA,rabia,no de personas que abandonaron esquema,2022-02-01,0,2,0,2,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2022-02-01,12,11,12,11,23
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2022-02-01,0,1,0,1,1
COROICO,rabia,no de personas que abandonaron esquema,2022-02-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2022-02-01,11,13,11,13,24
IXIAMAS,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas que abandonaron esquema,2022-02-01,2,0,2,0,2
LA PAZ,rabia,no de personas que abandonaron esquema,2022-02-01,6,6,6,6,12
MONTERO,rabia,no de personas que abandonaron esquema,2022-02-01,1,1,1,1,2
ORURO,rabia,no de personas que abandonaron esquema,2022-02-01,5,2,5,2,7
PADILLA,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2022-02-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2022-02-01,3,0,3,0,3
