,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,3,0,3,3
APOLO,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2022-01-01,0,3,0,3,3
ARQUE,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
BATALLAS,rabia,no de personas con vacuna antirrabica,2022-01-01,0,2,0,2,2
BERMEJO,rabia,no de personas con vacuna antirrabica,2022-01-01,0,9,0,9,9
BOYUIBE,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2022-01-01,2,0,2,0,2
CAJUATA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2022-01-01,2,2,2,2,4
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2022-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
CLIZA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,2,1,2,3
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2022-01-01,83,60,83,60,143
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,3,1,3,4
COLQUIRI,rabia,no de personas con vacuna antirrabica,2022-01-01,0,2,0,2,2
COMARAPA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
COPACABANA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
CORIPATA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
COTOCA,rabia,no de personas con vacuna antirrabica,2022-01-01,12,11,12,11,23
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2022-01-01,1,3,1,3,4
EL ALTO,rabia,no de personas con vacuna antirrabica,2022-01-01,81,53,81,53,134
EL PUENTE(STC),rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
EL TORNO,rabia,no de personas con vacuna antirrabica,2022-01-01,7,8,7,8,15
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
GUANAY,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2022-01-01,9,15,9,15,24
HUARINA,rabia,no de personas con vacuna antirrabica,2022-01-01,0,1,0,1,1
IXIAMAS,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2022-01-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2022-01-01,13,15,13,15,28
LA PAZ,rabia,no de personas con vacuna antirrabica,2022-01-01,121,104,121,104,225
LAGUNILLAS,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
MAPIRI,rabia,no de personas con vacuna antirrabica,2022-01-01,1,0,1,0,1
MINEROS,rabia,no de personas con vacuna antirrabica,2022-01-01,0,2,0,2,2
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2022-01-01,1,2,1,2,3
MONTERO,rabia,no de personas con vacuna antirrabica,2022-01-01,9,3,9,3,12
OKINAWA,rabia,no de personas con vacuna antirrabica,2022-01-01,1,1,1,1,2
ORURO,rabia,no de personas con vacuna antirrabica,2022-01-01,37,21,37,21,58
