municipality,group,variable,month,Mujeres de 15 a 49 años 3da dosis de dT,TOTAL
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,11,11
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,4,4
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,8,8
ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,4,4
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,10,10
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,3,3
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,6,6
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,3,3
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,32,32
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,14,14
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,4,4
AUCAPATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,12,12
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,8,8
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,6,6
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,18,18
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,5,5
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,9,9
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,11,11
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,28,28
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,51,51
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
CATACORA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,4,4
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,17,17
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,20,20
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,9,9
CHOQUE COTA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,2,2
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,53,53
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 3da dosis de dt,2009-01-01,32,32
