municipality,group,variable,month,Mujeres de 15 a 49 años 5ta dosis de dT,TOTAL
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,10,10
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,5,5
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,12,12
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,12,12
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,7,7
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
CHIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,118,118
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,11,11
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
COMANCHE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,15,15
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,170,170
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,5,5
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
FILADELFIA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,6,6
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,8,8
ICLA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,5,5
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,236,236
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
LLALLAGUA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,8,8
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,10,10
MALLA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
MECAPACA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
MIZQUE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
MOCOMOCO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
MONTEAGUDO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
MONTERO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
MORO MORO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,8,8
OCURI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
OMEREQUE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
ORURO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,10,10
PADILLA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
PAILON,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
PALCA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
PALOS BLANCOS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
PAMPA AULLAGAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
PATACAMAYA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
PELECHUCO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
POCONA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
PORTACHUELO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
POSTRER VALLE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,1,1
POTOSI,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,5,5
PUERTO QUIJARRO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,5,5
PUERTO VILLARROEL,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
PUNATA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
QUILLACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,4,4
QUIRUSILLAS,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
RIBERALTA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,5,5
RURRENABAQUE,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,2,2
SACABA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,28,28
SACABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 5ta dosis de dt,2009-01-01,3,3
