municipality,group,variable,month,Antirrábica canina,TOTAL
ACHACACHI,otras vacunaciones,antirrabica canina,2009-01-01,25,25
ACHOCALLA,otras vacunaciones,antirrabica canina,2009-01-01,10,10
AIQUILE,otras vacunaciones,antirrabica canina,2009-01-01,25,25
ALALAY,otras vacunaciones,antirrabica canina,2009-01-01,10,10
ANDAMARCA,otras vacunaciones,antirrabica canina,2009-01-01,4,4
ANZALDO,otras vacunaciones,antirrabica canina,2009-01-01,96,96
ARANI,otras vacunaciones,antirrabica canina,2009-01-01,3,3
ARBIETO,otras vacunaciones,antirrabica canina,2009-01-01,60,60
ARQUE,otras vacunaciones,antirrabica canina,2009-01-01,4,4
AYATA,otras vacunaciones,antirrabica canina,2009-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2009-01-01,4,4
BATALLAS,otras vacunaciones,antirrabica canina,2009-01-01,13,13
BELEN DE URMIRI,otras vacunaciones,antirrabica canina,2009-01-01,1,1
BUENA VISTA,otras vacunaciones,antirrabica canina,2009-01-01,135,135
CABEZAS,otras vacunaciones,antirrabica canina,2009-01-01,17,17
CALAMARCA,otras vacunaciones,antirrabica canina,2009-01-01,16,16
CAPINOTA,otras vacunaciones,antirrabica canina,2009-01-01,46,46
CAQUIAVIRI,otras vacunaciones,antirrabica canina,2009-01-01,20,20
CARACOLLO,otras vacunaciones,antirrabica canina,2009-01-01,50,50
CARANAVI,otras vacunaciones,antirrabica canina,2009-01-01,39,39
CATACORA,otras vacunaciones,antirrabica canina,2009-01-01,9,9
CHALLAPATA,otras vacunaciones,antirrabica canina,2009-01-01,389,389
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2009-01-01,74,74
CHUMA,otras vacunaciones,antirrabica canina,2009-01-01,30,30
CLIZA,otras vacunaciones,antirrabica canina,2009-01-01,53,53
COCHABAMBA,otras vacunaciones,antirrabica canina,2009-01-01,3959,3959
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2009-01-01,666,666
COLOMI,otras vacunaciones,antirrabica canina,2009-01-01,143,143
COLQUENCHA,otras vacunaciones,antirrabica canina,2009-01-01,4,4
COMARAPA,otras vacunaciones,antirrabica canina,2009-01-01,23,23
CORIPATA,otras vacunaciones,antirrabica canina,2009-01-01,3,3
COROICO,otras vacunaciones,antirrabica canina,2009-01-01,4,4
CORQUE,otras vacunaciones,antirrabica canina,2009-01-01,38,38
COTAGAITA,otras vacunaciones,antirrabica canina,2009-01-01,60,60
COTOCA,otras vacunaciones,antirrabica canina,2009-01-01,60,60
CULPINA,otras vacunaciones,antirrabica canina,2009-01-01,74,74
CURVA,otras vacunaciones,antirrabica canina,2009-01-01,7,7
EL ALTO,otras vacunaciones,antirrabica canina,2009-01-01,2390,2390
EL CHORO,otras vacunaciones,antirrabica canina,2009-01-01,10,10
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2009-01-01,30,30
EL TORNO,otras vacunaciones,antirrabica canina,2009-01-01,392,392
ENTRE RIOS,otras vacunaciones,antirrabica canina,2009-01-01,40,40
EUCALIPTUS,otras vacunaciones,antirrabica canina,2009-01-01,2,2
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2009-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica canina,2009-01-01,10,10
GUAYARAMERIN,otras vacunaciones,antirrabica canina,2009-01-01,4959,4959
INQUISIVI,otras vacunaciones,antirrabica canina,2009-01-01,206,206
LA ASUNTA,otras vacunaciones,antirrabica canina,2009-01-01,35,35
LA PAZ,otras vacunaciones,antirrabica canina,2009-01-01,602,602
LAGUNILLAS,otras vacunaciones,antirrabica canina,2009-01-01,58,58
LAS CARRERAS,otras vacunaciones,antirrabica canina,2009-01-01,12,12
MALLA,otras vacunaciones,antirrabica canina,2009-01-01,2,2
MECAPACA,otras vacunaciones,antirrabica canina,2009-01-01,15,15
MIZQUE,otras vacunaciones,antirrabica canina,2009-01-01,114,114
MOCOMOCO,otras vacunaciones,antirrabica canina,2009-01-01,12,12
MONTERO,otras vacunaciones,antirrabica canina,2009-01-01,212,212
MOROCHATA,otras vacunaciones,antirrabica canina,2009-01-01,200,200
OCURI,otras vacunaciones,antirrabica canina,2009-01-01,15,15
OMEREQUE,otras vacunaciones,antirrabica canina,2009-01-01,16,16
ORURO,otras vacunaciones,antirrabica canina,2009-01-01,5,5
PADILLA,otras vacunaciones,antirrabica canina,2009-01-01,18,18
PAILON,otras vacunaciones,antirrabica canina,2009-01-01,80,80
PALCA,otras vacunaciones,antirrabica canina,2009-01-01,2,2
PALOS BLANCOS,otras vacunaciones,antirrabica canina,2009-01-01,3,3
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2009-01-01,15,15
PAZÑA,otras vacunaciones,antirrabica canina,2009-01-01,4,4
PELECHUCO,otras vacunaciones,antirrabica canina,2009-01-01,14,14
POCONA,otras vacunaciones,antirrabica canina,2009-01-01,43,43
PORTACHUELO,otras vacunaciones,antirrabica canina,2009-01-01,15,15
POTOSI,otras vacunaciones,antirrabica canina,2009-01-01,22,22
PUCARANI,otras vacunaciones,antirrabica canina,2009-01-01,7,7
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2009-01-01,30,30
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2009-01-01,15,15
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2009-01-01,187,187
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2009-01-01,225,225
PUNATA,otras vacunaciones,antirrabica canina,2009-01-01,25,25
QUILLACOLLO,otras vacunaciones,antirrabica canina,2009-01-01,448,448
ROBORE,otras vacunaciones,antirrabica canina,2009-01-01,17,17
SABAYA,otras vacunaciones,antirrabica canina,2009-01-01,12,12
SACABA,otras vacunaciones,antirrabica canina,2009-01-01,2843,2843
SAIPINA,otras vacunaciones,antirrabica canina,2009-01-01,220,220
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica canina,2009-01-01,12,12
SAMAIPATA,otras vacunaciones,antirrabica canina,2009-01-01,32,32
SAN BENITO,otras vacunaciones,antirrabica canina,2009-01-01,34,34
SAN CARLOS,otras vacunaciones,antirrabica canina,2009-01-01,10,10
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2009-01-01,73,73
SAN LUCAS,otras vacunaciones,antirrabica canina,2009-01-01,101,101
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica canina,2009-01-01,18,18
SAN RAFAEL,otras vacunaciones,antirrabica canina,2009-01-01,59,59
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2009-01-01,9550,9550
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2009-01-01,4,4
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica canina,2009-01-01,34,34
SANTIVAÑES,otras vacunaciones,antirrabica canina,2009-01-01,95,95
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2009-01-01,23,23
SIPE SIPE,otras vacunaciones,antirrabica canina,2009-01-01,765,765
SORACACHI,otras vacunaciones,antirrabica canina,2009-01-01,34,34
SUCRE,otras vacunaciones,antirrabica canina,2009-01-01,174,174
TACACHI,otras vacunaciones,antirrabica canina,2009-01-01,5,5
TACACOMA,otras vacunaciones,antirrabica canina,2009-01-01,15,15
TACOPAYA,otras vacunaciones,antirrabica canina,2009-01-01,9,9
TAPACARI,otras vacunaciones,antirrabica canina,2009-01-01,92,92
TARABUCO,otras vacunaciones,antirrabica canina,2009-01-01,58,58
TARACO,otras vacunaciones,antirrabica canina,2009-01-01,22,22
TARATA,otras vacunaciones,antirrabica canina,2009-01-01,39,39
TARIJA,otras vacunaciones,antirrabica canina,2009-01-01,1638,1638
TIAWANACU,otras vacunaciones,antirrabica canina,2009-01-01,10,10
TINGUIPAYA,otras vacunaciones,antirrabica canina,2009-01-01,22,22
TIPUANI,otras vacunaciones,antirrabica canina,2009-01-01,4,4
TIQUIPAYA,otras vacunaciones,antirrabica canina,2009-01-01,506,506
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2009-01-01,3,3
TOLATA,otras vacunaciones,antirrabica canina,2009-01-01,199,199
TOLEDO,otras vacunaciones,antirrabica canina,2009-01-01,16,16
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2009-01-01,7,7
TUPIZA,otras vacunaciones,antirrabica canina,2009-01-01,2,2
UMALA,otras vacunaciones,antirrabica canina,2009-01-01,5,5
VACAS,otras vacunaciones,antirrabica canina,2009-01-01,17,17
VILA VILA,otras vacunaciones,antirrabica canina,2009-01-01,7,7
VILLA TUNARI,otras vacunaciones,antirrabica canina,2009-01-01,83,83
VILLAZON,otras vacunaciones,antirrabica canina,2009-01-01,484,484
VINTO,otras vacunaciones,antirrabica canina,2009-01-01,288,288
VITICHI,otras vacunaciones,antirrabica canina,2009-01-01,30,30
WARNES,otras vacunaciones,antirrabica canina,2009-01-01,123,123
YACO,otras vacunaciones,antirrabica canina,2009-01-01,6,6
YAMPARAEZ,otras vacunaciones,antirrabica canina,2009-01-01,2,2
YAPACANI,otras vacunaciones,antirrabica canina,2009-01-01,18,18
AIQUILE,otras vacunaciones,antirrabica canina,2009-02-01,21,21
ALALAY,otras vacunaciones,antirrabica canina,2009-02-01,23,23
ALCALA,otras vacunaciones,antirrabica canina,2009-02-01,3,3
ARANI,otras vacunaciones,antirrabica canina,2009-02-01,17,17
ARBIETO,otras vacunaciones,antirrabica canina,2009-02-01,2234,2234
ARQUE,otras vacunaciones,antirrabica canina,2009-02-01,21,21
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica canina,2009-02-01,277,277
AYATA,otras vacunaciones,antirrabica canina,2009-02-01,40,40
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2009-02-01,28,28
BATALLAS,otras vacunaciones,antirrabica canina,2009-02-01,96,96
BELEN DE URMIRI,otras vacunaciones,antirrabica canina,2009-02-01,5,5
BOLIVAR,otras vacunaciones,antirrabica canina,2009-02-01,12,12
BUENA VISTA,otras vacunaciones,antirrabica canina,2009-02-01,20,20
CABEZAS,otras vacunaciones,antirrabica canina,2009-02-01,17,17
CALACOTO,otras vacunaciones,antirrabica canina,2009-02-01,6,6
CALAMARCA,otras vacunaciones,antirrabica canina,2009-02-01,7,7
CAPINOTA,otras vacunaciones,antirrabica canina,2009-02-01,82,82
CAQUIAVIRI,otras vacunaciones,antirrabica canina,2009-02-01,20,20
CARACOLLO,otras vacunaciones,antirrabica canina,2009-02-01,82,82
CARANAVI,otras vacunaciones,antirrabica canina,2009-02-01,106,106
CARMEN RIVERO TORREZ,otras vacunaciones,antirrabica canina,2009-02-01,10,10
CHALLAPATA,otras vacunaciones,antirrabica canina,2009-02-01,16,16
CHARAÑA,otras vacunaciones,antirrabica canina,2009-02-01,7,7
CHAYANTA,otras vacunaciones,antirrabica canina,2009-02-01,10,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2009-02-01,49,49
CHUMA,otras vacunaciones,antirrabica canina,2009-02-01,42,42
CLIZA,otras vacunaciones,antirrabica canina,2009-02-01,79,79
COCHABAMBA,otras vacunaciones,antirrabica canina,2009-02-01,616,616
COIPASA,otras vacunaciones,antirrabica canina,2009-02-01,10,10
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2009-02-01,314,314
COLOMI,otras vacunaciones,antirrabica canina,2009-02-01,177,177
COMARAPA,otras vacunaciones,antirrabica canina,2009-02-01,177,177
COPACABANA,otras vacunaciones,antirrabica canina,2009-02-01,17,17
CORIPATA,otras vacunaciones,antirrabica canina,2009-02-01,5,5
CORQUE,otras vacunaciones,antirrabica canina,2009-02-01,32,32
COTAGAITA,otras vacunaciones,antirrabica canina,2009-02-01,3,3
CULPINA,otras vacunaciones,antirrabica canina,2009-02-01,112,112
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2009-02-01,1,1
EL ALTO,otras vacunaciones,antirrabica canina,2009-02-01,2959,2959
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2009-02-01,4,4
EL TORNO,otras vacunaciones,antirrabica canina,2009-02-01,1476,1476
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2009-02-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica canina,2009-02-01,2,2
GUANAY,otras vacunaciones,antirrabica canina,2009-02-01,5,5
GUAQUI,otras vacunaciones,antirrabica canina,2009-02-01,7,7
GUAYARAMERIN,otras vacunaciones,antirrabica canina,2009-02-01,70,70
GUTIERREZ,otras vacunaciones,antirrabica canina,2009-02-01,1,1
HUANUNI,otras vacunaciones,antirrabica canina,2009-02-01,3,3
ICHOCA,otras vacunaciones,antirrabica canina,2009-02-01,14,14
INQUISIVI,otras vacunaciones,antirrabica canina,2009-02-01,76,76
LA ASUNTA,otras vacunaciones,antirrabica canina,2009-02-01,87,87
LA GUARDIA,otras vacunaciones,antirrabica canina,2009-02-01,28,28
LA PAZ,otras vacunaciones,antirrabica canina,2009-02-01,253,253
LAGUNILLAS,otras vacunaciones,antirrabica canina,2009-02-01,91,91
LAJA,otras vacunaciones,antirrabica canina,2009-02-01,9,9
LURIBAY,otras vacunaciones,antirrabica canina,2009-02-01,7,7
MINEROS,otras vacunaciones,antirrabica canina,2009-02-01,1,1
MIZQUE,otras vacunaciones,antirrabica canina,2009-02-01,204,204
MOCOMOCO,otras vacunaciones,antirrabica canina,2009-02-01,4,4
MONTERO,otras vacunaciones,antirrabica canina,2009-02-01,1478,1478
MOROCHATA,otras vacunaciones,antirrabica canina,2009-02-01,182,182
OCURI,otras vacunaciones,antirrabica canina,2009-02-01,6,6
OMEREQUE,otras vacunaciones,antirrabica canina,2009-02-01,15,15
ORURO,otras vacunaciones,antirrabica canina,2009-02-01,3,3
PADCAYA,otras vacunaciones,antirrabica canina,2009-02-01,393,393
PAILON,otras vacunaciones,antirrabica canina,2009-02-01,1,1
PALCA,otras vacunaciones,antirrabica canina,2009-02-01,1,1
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2009-02-01,4,4
PASORAPA,otras vacunaciones,antirrabica canina,2009-02-01,2,2
PAZÑA,otras vacunaciones,antirrabica canina,2009-02-01,4,4
PELECHUCO,otras vacunaciones,antirrabica canina,2009-02-01,45,45
POCONA,otras vacunaciones,antirrabica canina,2009-02-01,16,16
PORTACHUELO,otras vacunaciones,antirrabica canina,2009-02-01,26,26
POTOSI,otras vacunaciones,antirrabica canina,2009-02-01,13,13
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2009-02-01,66,66
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2009-02-01,60,60
PUERTO PEREZ,otras vacunaciones,antirrabica canina,2009-02-01,3,3
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2009-02-01,60,60
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2009-02-01,277,277
PUNATA,otras vacunaciones,antirrabica canina,2009-02-01,10,10
QUILLACOLLO,otras vacunaciones,antirrabica canina,2009-02-01,305,305
ROBORE,otras vacunaciones,antirrabica canina,2009-02-01,66,66
SACABA,otras vacunaciones,antirrabica canina,2009-02-01,2124,2124
SAMAIPATA,otras vacunaciones,antirrabica canina,2009-02-01,3,3
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2009-02-01,10,10
SAN BENITO,otras vacunaciones,antirrabica canina,2009-02-01,10,10
SAN CARLOS,otras vacunaciones,antirrabica canina,2009-02-01,64,64
SAN IGNACIO,otras vacunaciones,antirrabica canina,2009-02-01,197,197
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2009-02-01,60,60
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica canina,2009-02-01,10,10
SAN RAFAEL,otras vacunaciones,antirrabica canina,2009-02-01,131,131
SAN RAMON,otras vacunaciones,antirrabica canina,2009-02-01,1573,1573
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2009-02-01,7871,7871
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2009-02-01,14,14
SANTIVAÑES,otras vacunaciones,antirrabica canina,2009-02-01,42,42
SANTUARIO DE QUILLACAS,otras vacunaciones,antirrabica canina,2009-02-01,3,3
SIPE SIPE,otras vacunaciones,antirrabica canina,2009-02-01,782,782
SORACACHI,otras vacunaciones,antirrabica canina,2009-02-01,17,17
SUCRE,otras vacunaciones,antirrabica canina,2009-02-01,2,2
TACACOMA,otras vacunaciones,antirrabica canina,2009-02-01,15,15
TACOPAYA,otras vacunaciones,antirrabica canina,2009-02-01,2,2
TAPACARI,otras vacunaciones,antirrabica canina,2009-02-01,51,51
TARABUCO,otras vacunaciones,antirrabica canina,2009-02-01,25,25
TARATA,otras vacunaciones,antirrabica canina,2009-02-01,35,35
TARIJA,otras vacunaciones,antirrabica canina,2009-02-01,60,60
TIAWANACU,otras vacunaciones,antirrabica canina,2009-02-01,98,98
TINGUIPAYA,otras vacunaciones,antirrabica canina,2009-02-01,4,4
TIQUIPAYA,otras vacunaciones,antirrabica canina,2009-02-01,213,213
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2009-02-01,41,41
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2009-02-01,5,5
TOCO,otras vacunaciones,antirrabica canina,2009-02-01,11,11
TOLATA,otras vacunaciones,antirrabica canina,2009-02-01,983,983
TOLEDO,otras vacunaciones,antirrabica canina,2009-02-01,18,18
TOMAVE,otras vacunaciones,antirrabica canina,2009-02-01,11,11
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2009-02-01,9,9
TRINIDAD,otras vacunaciones,antirrabica canina,2009-02-01,1451,1451
TUPIZA,otras vacunaciones,antirrabica canina,2009-02-01,1,1
TURCO,otras vacunaciones,antirrabica canina,2009-02-01,18,18
UMALA,otras vacunaciones,antirrabica canina,2009-02-01,7,7
VACAS,otras vacunaciones,antirrabica canina,2009-02-01,31,31
VILA VILA,otras vacunaciones,antirrabica canina,2009-02-01,21,21
VILLA TUNARI,otras vacunaciones,antirrabica canina,2009-02-01,63,63
VILLAZON,otras vacunaciones,antirrabica canina,2009-02-01,8,8
VINTO,otras vacunaciones,antirrabica canina,2009-02-01,35,35
WARNES,otras vacunaciones,antirrabica canina,2009-02-01,329,329
YACO,otras vacunaciones,antirrabica canina,2009-02-01,17,17
YANACACHI,otras vacunaciones,antirrabica canina,2009-02-01,11,11
YAPACANI,otras vacunaciones,antirrabica canina,2009-02-01,14,14
YUNCHARA,otras vacunaciones,antirrabica canina,2009-02-01,10,10
ACHACACHI,otras vacunaciones,antirrabica canina,2009-03-01,13,13
AIQUILE,otras vacunaciones,antirrabica canina,2009-03-01,64,64
ALALAY,otras vacunaciones,antirrabica canina,2009-03-01,25,25
ANDAMARCA,otras vacunaciones,antirrabica canina,2009-03-01,15,15
ANZALDO,otras vacunaciones,antirrabica canina,2009-03-01,927,927
ARANI,otras vacunaciones,antirrabica canina,2009-03-01,3051,3051
ARBIETO,otras vacunaciones,antirrabica canina,2009-03-01,517,517
ARQUE,otras vacunaciones,antirrabica canina,2009-03-01,48,48
BATALLAS,otras vacunaciones,antirrabica canina,2009-03-01,111,111
BOLIVAR,otras vacunaciones,antirrabica canina,2009-03-01,19,19
CABEZAS,otras vacunaciones,antirrabica canina,2009-03-01,48,48
"CAIZA ""D""",otras vacunaciones,antirrabica canina,2009-03-01,10,10
CALACOTO,otras vacunaciones,antirrabica canina,2009-03-01,17,17
