municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,3,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,6,6
CAMARGO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,61,61
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,4,4
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,8,8
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,5,5
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,64,64
LLALLAGUA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
MECAPACA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,5,5
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,10,10
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,8,8
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,13,13
SACABA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,8,8
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,2,2
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,2,2
SANTA ANA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,55,55
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,16,16
TARATA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,3,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,11,11
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2009-01-01,2,2
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,6,6
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,2,2
CAMARGO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,4,4
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,36,36
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2009-02-01,1,1
