municipality,group,variable,month,Mujeres de 15 a 49 años 2da dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,3,3
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,67,67
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,14,14
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,11,11
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,9,9
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,3,3
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,5,5
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,1,1
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,28,28
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,4,4
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,6,6
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,18,18
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,66,66
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,8,8
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,61,61
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,18,18
AUCAPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,3,3
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,15,15
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2009-01-01,18,18
