municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dT,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,24,24
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,111,111
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,82,82
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,35,35
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,14,14
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,3,3
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,21,21
ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,2,2
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,4,4
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,46,46
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,15,15
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,14,14
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,70,70
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,98,98
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,23,23
AUCAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,9,9
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,44,44
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,7,7
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,3,3
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,4,4
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,18,18
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,105,105
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,21,21
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,46,46
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,18,18
CAIROMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,11,11
"CAIZA ""D""",otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,8,8
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,9,9
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,11,11
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,4,4
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,42,42
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,116,116
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,7,7
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,19,19
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,168,168
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,19,19
CARIPUYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,8,8
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,11,11
CATACORA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,4,4
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,15,15
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,44,44
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,40,40
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,61,61
CHIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,8,8
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,40,40
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,131,131
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,149,149
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1097,1097
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,8,8
COLLANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,34,34
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,14,14
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,84,84
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,13,13
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,74,74
COMANCHE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,12,12
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,11,11
COMBAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,46,46
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,14,14
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,25,25
CORO CORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,27,27
CORQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,2,2
COTAGAITA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,22,22
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,92,92
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,22,22
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,3,3
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,12,12
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,7,7
CURVA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,13,13
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,2405,2405
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,19,19
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,7,7
EL VILLAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,3,3
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,49,49
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,67,67
EUCALIPTUS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,12,12
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,14,14
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,7,7
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,26,26
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,119,119
GUTIERREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,24,24
HUACARETA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,10,10
HUACHACALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,2,2
HUANUNI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,7,7
HUARACAJE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
HUAYLLAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,19,19
ICLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,31,31
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,27,27
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,20,20
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,9,9
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,21,21
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,106,106
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,8,8
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,2115,2115
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,9,9
LAJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,40,40
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,5,5
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,3,3
LLALLAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,193,193
LLICA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,1,1
LURIBAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,38,38
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,8,8
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2009-01-01,33,33
