municipality,group,variable,month,Mujeres de 15 a 49 años 4da dosis de dT,TOTAL
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,5,5
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
ARAMPAMPA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,5,5
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,5,5
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,20,20
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,7,7
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,5,5
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,11,11
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,4,4
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,8,8
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,5,5
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,9,9
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,6,6
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,15,15
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,5,5
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,205,205
COLLANA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,14,14
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
COMANCHE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,34,34
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
CURVA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,331,331
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,4,4
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,4,4
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,10,10
EXALTACION,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,6,6
HUANUNI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
ICLA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,4,4
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,8,8
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,303,303
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,2,2
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,7,7
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,8,8
MECAPACA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
MIZQUE,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,4,4
MONTERO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,7,7
MORO MORO,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,4,4
OCURI,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,1,1
OKINAWA,otras vacunaciones,mujeres de 15 a 49 anos 4da dosis de dt,2009-01-01,3,3
