,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,0.0,1.0,0.0,0.0,0.0,1.0
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,1.0,7.0,0.0,0.0,1.0,7.0
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,1.0,0.0,0.0,0.0,1.0,0.0
SAN BENITO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,1.0,0.0,0.0,0.0,1.0,0.0
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,0.0,1.0,0.0,0.0,0.0,1.0
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,2.0,0.0,0.0,0.0,2.0,0.0
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,0.0,1.0,0.0,0.0,0.0,1.0
YACUIBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-01-01,0.0,1.0,0.0,0.0,0.0,1.0
CARAPARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,1.0,0.0,0.0,0.0,1.0,0.0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,0.0,1.0,0.0,0.0,0.0,1.0
GUAYARAMERIN,chagas,tratamientos 5 anos a menores de 15 anos de edad,2020-02-01,47.0,25.0,0.0,0.0,47.0,25.0
