,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2020-01-01,0,1,0,0,0,1
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2020-01-01,1,0,0,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2020-01-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2020-01-01,0,0,1,0,1,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2020-01-01,1,0,0,0,1,0
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,0,0,1,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,0,1,0,0,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,1,0,0,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,2,0,0,0,2,0
TAPACARI,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,0,1,0,0,0,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2020-02-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,0,1,0,1,0,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,0,0,0,1,0,1
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,1,0,0,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,0,0,1,0,1,0
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2020-03-01,0,1,2,0,2,1
