,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2020-01-01,0,0,1,0,1,0
BERMEJO,chagas,tratamientos de 15 anos y mas,2020-01-01,1,1,2,0,3,1
CLIZA,chagas,tratamientos de 15 anos y mas,2020-01-01,0,2,2,0,2,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2020-01-01,13,40,1,5,14,45
COLCAPIRHUA,chagas,tratamientos de 15 anos y mas,2020-01-01,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos de 15 anos y mas,2020-01-01,0,0,1,1,1,1
CUEVO,chagas,tratamientos de 15 anos y mas,2020-01-01,0,1,0,1,0,2
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2020-01-01,0,1,0,0,0,1
IRUPANA (VILLA DE LANZA),chagas,tratamientos de 15 anos y mas,2020-01-01,1,0,0,0,1,0
LA PAZ,chagas,tratamientos de 15 anos y mas,2020-01-01,0,0,0,2,0,2
MIZQUE,chagas,tratamientos de 15 anos y mas,2020-01-01,0,0,0,1,0,1
OMEREQUE,chagas,tratamientos de 15 anos y mas,2020-01-01,0,0,2,0,2,0
PAMPA GRANDE,chagas,tratamientos de 15 anos y mas,2020-01-01,0,1,0,0,0,1
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2020-01-01,0,2,0,0,0,2
PUNATA,chagas,tratamientos de 15 anos y mas,2020-01-01,4,3,1,1,5,4
SACABA,chagas,tratamientos de 15 anos y mas,2020-01-01,3,16,0,0,3,16
SAN BENITO,chagas,tratamientos de 15 anos y mas,2020-01-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2020-01-01,0,1,0,0,0,1
SANTIVAÑES,chagas,tratamientos de 15 anos y mas,2020-01-01,0,1,0,0,0,1
