,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-01-01,0.0,0.0,1.0,0.0,1.0,0.0
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-01-01,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-01-01,1.0,0.0,0.0,1.0,1.0,1.0
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-01-01,0.0,0.0,1.0,0.0,1.0,0.0
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-02-01,4.0,1.0,0.0,0.0,4.0,1.0
PAMPA GRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-02-01,2.0,1.0,0.0,0.0,2.0,1.0
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-02-01,0.0,0.0,0.0,1.0,0.0,1.0
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-03-01,1.0,0.0,0.0,0.0,1.0,0.0
PAMPA GRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-03-01,0.0,1.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-03-01,1.0,0.0,0.0,0.0,1.0,0.0
VILA VILA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-04-01,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
GUANAY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-06-01,0.0,1.0,0.0,0.0,0.0,1.0
COBIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0
EUREKA (SANTOS MERCADO),chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-08-01,1.0,0.0,0.0,0.0,1.0,0.0
TOTORA(CBBA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-08-01,1.0,0.0,0.0,0.0,1.0,0.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-10-01,0.0,1.0,0.0,0.0,0.0,1.0
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-10-01,0.0,1.0,0.0,0.0,0.0,1.0
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-10-01,0.0,0.0,1.0,0.0,1.0,0.0
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-10-01,0.0,1.0,0.0,0.0,0.0,1.0
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-11-01,0.0,2.0,0.0,0.0,0.0,2.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-11-01,1.0,0.0,0.0,0.0,1.0,0.0
SENA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-11-01,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-11-01,1.0,0.0,0.0,0.0,1.0,0.0
COMARAPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-12-01,0.0,0.0,0.0,1.0,0.0,1.0
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-12-01,1.0,0.0,0.0,0.0,1.0,0.0
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-12-01,0.0,1.0,0.0,0.0,0.0,1.0
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-12-01,0.0,0.0,0.0,1.0,0.0,1.0
WARNES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2020-12-01,0.0,0.0,1.0,1.0,1.0,1.0
