municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,7,7
ALTO BENI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,13,13
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
ARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
ARQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,9,9
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,16,16
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,22,22
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,15,15
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
CARANAVI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
CHALLAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,51,51
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,8,8
CHAYANTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,16,16
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,12,12
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
COCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,13,13
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,33,33
CORQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,49,49
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,13,13
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,4,4
HUANUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,7,7
HUARINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,10,10
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,39,39
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,6,6
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-01-01,13,13
