municipality,group,variable,month,10.2. Nº de CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
ALTO BENI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
ARANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
AYATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
BELLA FLOR,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,10,10
BETANZOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
BOYUIBE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,4,4
CARIPUYO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,9,9
CHARAGUA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
CHAYANTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,6,6
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
CONCEPCION,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
CUEVO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
CURVA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,47,47
EL TORNO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
ESCOMA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
FILADELFIA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,6,6
GUAQUI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
HUMANATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,37,37
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
LAJA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
LORETO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
MORO MORO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
PADCAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,4,4
PAILON,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,4,4
POCONA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,4,4
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
POSTRER VALLE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
PUCARANI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,6,6
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
QUIME,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,4,4
SABAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SACABA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SAN BENITO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,4,4
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,7,7
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,24,24
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,5,5
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SENA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
SORACACHI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,6,6
TACACHI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TACACOMA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,6,6
TAPACARI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TARACO,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,3,3
TIAWANACU,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,2,2
TOLATA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,13,13
UYUNI,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,     no de cai de establecimiento,2014-01-01,7,7
