municipality,group,variable,month,10.8. N° de autoevaluciones para acreditación del establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
ESCOMA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,7,7
LA PAZ,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,4,4
LAS CARRERAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,31,31
MACHARETI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
PORTACHUELO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,2,2
PUNA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
TAPACARI,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     n de autoevaluciones para acreditacion del establecimiento,2014-01-01,1,1
