municipality,group,variable,month,10.9. Nº. De actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
ACHACACHI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,22,22
ACHOCALLA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
AIQUILE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
ALALAY,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,20,20
ALTO BENI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
ANCORAIMES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
APOLO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,6,6
ARANI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,7,7
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
AUCAPATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
AZURDUY,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,25,25
BAURES,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,1,1
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,8,8
BETANZOS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,30,30
BOLIVAR,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,14,14
BUENA VISTA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,9,9
CAIROMA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,4,4
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,23,23
CAJUATA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
CALACOTO,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,12,12
CALAMARCA,actividades del establecimiento y con la comunidad,     no. de actividades educativas en salud,2014-01-01,3,3
