municipality,group,variable,month,10.7. N° de auditorias internas en salud en aplicación de norma técnica,TOTAL
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,10,10
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,2,2
SACABAMBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,0,0
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,5,5
TACACOMA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,3,3
WARNES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,2,2
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,11,11
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,3,3
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,3,3
VILLA SERRANO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-02-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,3,3
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,4,4
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,6,6
MONTERO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
PORCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,13,13
SACABA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,5,5
SANTIVAÑES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,15,15
TARACO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,7,7
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
VACAS,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-03-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,5,5
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,2,2
HUARINA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,3,3
LLALLAGUA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,5,5
POROMA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,6,6
SAN BENITO,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,9,9
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,4,4
SOPACHUY,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,2,2
SORATA,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,     n de auditorias internas en salud en aplicacion de norma tecnica,2014-04-01,17,17
