municipality,group,variable,month,10.4. N° de reuniones realizadas con Comités Loc. De Salud/Consejo Mun. De Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ALALAY,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
AYATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,4,4
BERMEJO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,9,9
BETANZOS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,15,15
BOYUIBE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,8,8
CAMARGO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,23,23
CARANAVI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
CHAYANTA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,5,5
CHUA COCANI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
CLIZA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
COCAPATA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,6,6
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,15,15
COLOMI,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
CONCEPCION,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
COTOCA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,24,24
EL TORNO,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,5,5
EL VILLAR,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
FILADELFIA,actividades del establecimiento y con la comunidad,     n de reuniones realizadas con comites loc. de salud/consejo mun. de salud,2014-01-01,2,2
