municipality,group,variable,month,10.5. N° de beneficiarias (madres) nuevas del bono Juana Azurduy,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,2.0,2.0
ACHACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,20.0,20.0
ACHOCALLA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,21.0,21.0
AIQUILE,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,28.0,28.0
ALCALA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,2.0,2.0
ALTO BENI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
ANCORAIMES,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,13.0,13.0
ANDAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,1.0,1.0
ANZALDO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,2.0,2.0
APOLO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,21.0,21.0
ARANI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,12.0,12.0
ARBIETO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,10.0,10.0
ARQUE,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,19.0,19.0
ATOCHA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,11.0,11.0
AUCAPATA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,3.0,3.0
AYATA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,2.0,2.0
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,11.0,11.0
AZURDUY,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,1.0,1.0
BERMEJO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,28.0,28.0
BETANZOS,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,30.0,30.0
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
CABEZAS,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,30.0,30.0
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
CAJUATA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,6.0,6.0
CALACOTO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
CALAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,12.0,12.0
CAMARGO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,8.0,8.0
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,1.0,1.0
CAPINOTA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,23.0,23.0
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,8.0,8.0
CARACOLLO,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
CARANAVI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,7.0,7.0
CARAPARI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,12.0,12.0
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,13.0,13.0
CHAQUI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,4.0,4.0
CHIMORE,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,19.0,19.0
CHIPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,1.0,1.0
CHUA COCANI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,1.0,1.0
CHUMA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,6.0,6.0
CKOCHAS,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,5.0,5.0
CLIZA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,24.0,24.0
COBIJA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,82.0,82.0
COCAPATA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,7.0,7.0
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,523.0,523.0
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,65.0,65.0
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,3.0,3.0
COLLANA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,3.0,3.0
COLOMI,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,28.0,28.0
COLPA BELGICA,actividades del establecimiento y con la comunidad,     n de beneficiarias (madres) nuevas del bono juana azurduy,2014-01-01,9.0,9.0
