municipality,group,variable,month,10.1. Nº de actividades realizadas con participación de la comunidad,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
ACHACACHI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,30,30
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,6,6
AIQUILE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
ALALAY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,20,20
ALTO BENI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,4,4
APOLO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,18,18
ARAMPAMPA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,21,21
ARANI,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,12,12
ARQUE,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,13,13
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,9,9
ATOCHA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,2,2
AYATA,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,5,5
AZURDUY,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,39,39
BAURES,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,3,3
BELLA FLOR,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,29,29
BETANZOS,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,98,98
BOLIVAR,actividades del establecimiento y con la comunidad,     no de actividades realizadas con participacion de la comunidad,2014-01-01,10,10
