,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,8,0,8,8
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,6,17,6,17,23
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,2,8,2,8,10
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,3,5,3,5,8
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,2,1,2,3
CAJUATA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,2,0,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,20,13,20,13,33
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,7,23,7,23,30
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,8,9,8,9,17
CARAPARI,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
CARIPUYO,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,2,8,2,8,10
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,6,8,6,8,14
CHIMORE,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,7,1,7,8
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,2,10,2,10,12
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,18,104,18,104,122
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,51,391,51,391,442
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,6,1,6,7
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,6,1,6,7
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,4,14,4,14,18
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,3,3,3,3,6
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,3,8,3,8,11
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,93,562,93,562,655
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,4,11,4,11,15
EL VILLAR,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,0,1,0,1
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,1,1,1,2
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,4,0,4,4
GENERAL SAAVEDRA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,5,22,5,22,27
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,3,1,3,4
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,0,2,0,2,2
HUAYLLAMARCA,internaciones,ingresos referidos de otros establecimientos de salud,2016-01-01,1,1,1,1,2
