,group,variable,month,L 20.1 DPT 5TA DOSIS CANTIDAD,L 20.1 DPT 5TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
AIQUILE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,2,5
ALCALA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,10,1,11
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,4,4
AZURDUY,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,1,3
BATALLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
BOLIVAR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
BOLPEBRA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,3,3
CABEZAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,2,2
CAMARGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,5,0,5
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,4,2,6
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,2,2
CHARAGUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,4,4
CHIMORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,3,4
COBIJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,6,4,10
COCAPATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,7,2,9
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,73,0,73
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,37,11,48
COLOMI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,1,3
COTAGAITA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,6,7,13
COTOCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,11,1,12
DESAGUADERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,161,40,201
EL TORNO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,11,1,12
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,6,2,8
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,5,0,5
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,10,7,17
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
HUARACAJE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
HUARINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,10,10
HUAYLLAMARCA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,0,2
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,32,0,32
LA PAZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,116,12,128
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,7,7
LAJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,3,3
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,4,2,6
LLICA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
MACHARETI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
MAGDALENA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,9,0,9
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,17,1,18
MONTERO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,47,0,47
MOROCHATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,2,2
OMEREQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,4,4
ORURO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,77,1,78
PAZÑA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,3,3
POCONA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,7,8
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,6,0,6
POROMA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,0,2
PORONGO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,5,8,13
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,4,0,4
PORVENIR,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
POTOSI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,21,6,27
PRESTO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,4,0,4
PUCARANI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,7,0,7
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,6,8
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,5,0,5
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,4,5,9
PUNA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,6,10,16
PUNATA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,4,0,4
REYES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,11,0,11
RIBERALTA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,7,0,7
ROBORE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
SACABA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,38,41,79
SAIPINA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,3,4
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,24,14,38
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,12,7,19
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,0,2
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,2,20,22
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,11,0,11
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,18,3,21
SAN PEDRO(PND),vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,7,7
SANTA ANA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,8,0,8
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,327,5,332
SANTA ROSA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,3,0,3
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,1,0,1
SANTIVAÑES,vacunacion en ninos de 4 anos,l 20.1       dpt 5ta dosis,2012-01-01,0,1,1
