,group,variable,month,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
AIQUILE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,2,5
ALCALA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
ARAMPAMPA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,1,4
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,10,1,11
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,11,11
AZURDUY,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,1,3
BATALLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,3,4
BOLIVAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
BOLPEBRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,3,3
CALACOTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,6,0,6
CAMARGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,5,0,5
CAQUIAVIRI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,6,2,8
CATACORA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,0,2
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,2,2
CHIMORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,3,5
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,7,7
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,6,4,10
COCAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,7,2,9
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,74,0,74
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,20,11,31
"COLCHA ""K""",vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,1,3
COTAGAITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,6,5,11
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,11,1,12
DESAGUADERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,174,40,214
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,11,1,12
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,8,2,10
ESCOMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,5,0,5
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,5,0,5
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,10,7,17
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
HUARACAJE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,3,0,3
HUARINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,10,10
HUAYLLAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
ICLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,3,3
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,0,2
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,32,0,32
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,99,9,108
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,7,7
LAJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,7,7
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,4,2,6
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
MAGDALENA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,9,0,9
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,17,1,18
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,12,0,12
MOROCHATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,3,3
OMEREQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,4,4
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,77,1,78
PAZÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,3,3
POCONA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,7,8
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,6,0,6
POROMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,0,2
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,5,8,13
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,4,0,4
PORVENIR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,21,6,27
PRESTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,4,0,4
PUCARANI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,7,0,7
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,6,8
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,5,0,5
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,4,9,13
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,4,0,4
REYES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,11,0,11
RIBERALTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,7,0,7
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
SACABA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,38,41,79
SAIPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,3,4
SAN ANDRES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,24,14,38
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,12,7,19
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,0,2
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,2,20,22
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,11,0,11
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,17,3,20
SAN PEDRO(PND),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-01-01,0,1,1
