,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BUENA VISTA,rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-01-01,9,3,9,3,12
CONCEPCION,rabia,no de personas que abandonaron esquema,2019-01-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2019-01-01,0,2,0,2,2
EL ALTO,rabia,no de personas que abandonaron esquema,2019-01-01,20,13,20,13,33
LA PAZ,rabia,no de personas que abandonaron esquema,2019-01-01,5,4,5,4,9
LAGUNILLAS,rabia,no de personas que abandonaron esquema,2019-01-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
OKINAWA,rabia,no de personas que abandonaron esquema,2019-01-01,0,2,0,2,2
ORURO,rabia,no de personas que abandonaron esquema,2019-01-01,9,5,9,5,14
PADILLA,rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2019-01-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-01-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2019-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2019-01-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-01-01,8,7,8,7,15
SAPAHAQUI,rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
SORATA,rabia,no de personas que abandonaron esquema,2019-01-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-01-01,24,12,24,12,36
TARIJA,rabia,no de personas que abandonaron esquema,2019-01-01,1,3,1,3,4
TOTORA(CBBA),rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-01-01,6,5,6,5,11
UYUNI,rabia,no de personas que abandonaron esquema,2019-01-01,1,2,1,2,3
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2019-01-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas que abandonaron esquema,2019-02-01,0,1,0,1,1
CARANAVI,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2019-02-01,9,4,9,4,13
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2019-02-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2019-02-01,12,11,12,11,23
LA PAZ,rabia,no de personas que abandonaron esquema,2019-02-01,8,7,8,7,15
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2019-02-01,4,3,4,3,7
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
PUCARANI,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
PUERTO RICO,rabia,no de personas que abandonaron esquema,2019-02-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2019-02-01,1,1,1,1,2
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2019-02-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2019-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2019-02-01,4,5,4,5,9
SHINAOTA,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas que abandonaron esquema,2019-02-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2019-02-01,21,19,21,19,40
TRINIDAD,rabia,no de personas que abandonaron esquema,2019-02-01,5,2,5,2,7
UYUNI,rabia,no de personas que abandonaron esquema,2019-02-01,1,1,1,1,2
