,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con esquema clasico completo,2019-01-01,0,2,0,2,2
APOLO,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2019-01-01,2,0,2,0,2
CARANAVI,rabia,no de personas con esquema clasico completo,2019-01-01,1,1,1,1,2
CARAPARI,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2019-01-01,9,2,9,2,11
EL ALTO,rabia,no de personas con esquema clasico completo,2019-01-01,23,13,23,13,36
EL TORNO,rabia,no de personas con esquema clasico completo,2019-01-01,1,5,1,5,6
EUCALIPTUS,rabia,no de personas con esquema clasico completo,2019-01-01,2,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2019-01-01,4,2,4,2,6
LA PAZ,rabia,no de personas con esquema clasico completo,2019-01-01,12,11,12,11,23
LAGUNILLAS,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
OCURI,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2019-01-01,2,3,2,3,5
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2019-01-01,17,0,17,0,17
PUCARANI,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
PUERTO GONZALO MORENO,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2019-01-01,0,2,0,2,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2019-01-01,1,3,1,3,4
SAN JULIAN,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2019-01-01,30,26,30,26,56
SHINAOTA,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2019-01-01,1,1,1,1,2
SUCRE,rabia,no de personas con esquema clasico completo,2019-01-01,5,3,5,3,8
TARIJA,rabia,no de personas con esquema clasico completo,2019-01-01,17,15,17,15,32
TIPUANI,rabia,no de personas con esquema clasico completo,2019-01-01,2,0,2,0,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2019-01-01,14,8,14,8,22
TUPIZA,rabia,no de personas con esquema clasico completo,2019-01-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2019-01-01,1,2,1,2,3
VINTO,rabia,no de personas con esquema clasico completo,2019-01-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2019-01-01,3,2,3,2,5
ACHOCALLA,rabia,no de personas con esquema clasico completo,2019-02-01,1,0,1,0,1
ALCALA,rabia,no de personas con esquema clasico completo,2019-02-01,1,0,1,0,1
APOLO,rabia,no de personas con esquema clasico completo,2019-02-01,0,1,0,1,1
AYATA,rabia,no de personas con esquema clasico completo,2019-02-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema clasico completo,2019-02-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2019-02-01,2,0,2,0,2
CAMIRI,rabia,no de personas con esquema clasico completo,2019-02-01,1,0,1,0,1
CARACOLLO,rabia,no de personas con esquema clasico completo,2019-02-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2019-02-01,0,2,0,2,2
