,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ATOCHA,rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
BERMEJO,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema reducido completo,2019-01-01,0,2,0,2,2
CALAMARCA,rabia,no de personas con esquema reducido completo,2019-01-01,0,3,0,3,3
CAMIRI,rabia,no de personas con esquema reducido completo,2019-01-01,1,1,1,1,2
CAPINOTA,rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2019-01-01,3,0,3,0,3
COCHABAMBA,rabia,no de personas con esquema reducido completo,2019-01-01,44,40,44,40,84
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
COLQUENCHA,rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
COTAGAITA,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2019-01-01,10,6,10,6,16
DESAGUADERO,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema reducido completo,2019-01-01,46,52,46,52,98
EL TORNO,rabia,no de personas con esquema reducido completo,2019-01-01,12,18,12,18,30
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
HUARINA,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2019-01-01,22,10,22,10,32
LA PAZ,rabia,no de personas con esquema reducido completo,2019-01-01,116,81,116,81,197
LLICA,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2019-01-01,6,7,6,7,13
ORURO,rabia,no de personas con esquema reducido completo,2019-01-01,24,22,24,22,46
PADILLA,rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
PAILON,rabia,no de personas con esquema reducido completo,2019-01-01,6,0,6,0,6
PORONGO,rabia,no de personas con esquema reducido completo,2019-01-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema reducido completo,2019-01-01,3,0,3,0,3
PUERTO SUAREZ,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2019-01-01,2,3,2,3,5
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2019-01-01,9,2,9,2,11
SACABA,rabia,no de personas con esquema reducido completo,2019-01-01,10,1,10,1,11
SAN ANDRES,rabia,no de personas con esquema reducido completo,2019-01-01,1,1,1,1,2
SAN CARLOS,rabia,no de personas con esquema reducido completo,2019-01-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
SAN JAVIER(STC),rabia,no de personas con esquema reducido completo,2019-01-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con esquema reducido completo,2019-01-01,0,5,0,5,5
SAN MIGUEL DE VELASCO,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2019-01-01,149,140,149,140,289
SANTA ROSA DEL SARA,rabia,no de personas con esquema reducido completo,2019-01-01,1,2,1,2,3
SANTIVAÑES,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2019-01-01,1,0,1,0,1
SICA SICA (VILLA AROMA),rabia,no de personas con esquema reducido completo,2019-01-01,0,1,0,1,1
