,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con vacuna antirrabica,2019-01-01,4,0,4,0,4
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
ALCALA,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
APOLO,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
ARANI,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
ATOCHA,rabia,no de personas con vacuna antirrabica,2019-01-01,3,2,3,2,5
BERMEJO,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,2,0,2,2
CABEZAS,rabia,no de personas con vacuna antirrabica,2019-01-01,1,1,1,1,2
CALAMARCA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
CAMARGO,rabia,no de personas con vacuna antirrabica,2019-01-01,2,0,2,0,2
CARANAVI,rabia,no de personas con vacuna antirrabica,2019-01-01,8,8,8,8,16
CARAPARI,rabia,no de personas con vacuna antirrabica,2019-01-01,0,2,0,2,2
CARMEN RIVERO TORREZ,rabia,no de personas con vacuna antirrabica,2019-01-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2019-01-01,4,0,4,0,4
CHIMORE,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2019-01-01,50,37,50,37,87
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2019-01-01,2,1,2,1,3
COLQUENCHA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
COLQUIRI,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con vacuna antirrabica,2019-01-01,7,5,7,5,12
COPACABANA,rabia,no de personas con vacuna antirrabica,2019-01-01,3,0,3,0,3
COTOCA,rabia,no de personas con vacuna antirrabica,2019-01-01,14,10,14,10,24
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2019-01-01,3,2,3,2,5
EL ALTO,rabia,no de personas con vacuna antirrabica,2019-01-01,166,137,166,137,303
EL TORNO,rabia,no de personas con vacuna antirrabica,2019-01-01,13,12,13,12,25
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2019-01-01,2,0,2,0,2
ESCOMA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2019-01-01,2,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
HUARINA,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2019-01-01,29,18,29,18,47
LA PAZ,rabia,no de personas con vacuna antirrabica,2019-01-01,279,214,279,214,493
LLICA,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
LURIBAY,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
MAGDALENA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
MAPIRI,rabia,no de personas con vacuna antirrabica,2019-01-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2019-01-01,1,1,1,1,2
MONTERO,rabia,no de personas con vacuna antirrabica,2019-01-01,7,10,7,10,17
OCURI,rabia,no de personas con vacuna antirrabica,2019-01-01,0,1,0,1,1
