,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,2,17,2,17,19
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,5,1,5,6
ANZALDO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,6,17,6,17,23
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,4,1,4,5
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,3,1,3,4
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,20,53,20,53,73
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,2,0,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,4,15,4,15,19
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,10,44,10,44,54
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,1,0,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,9,39,9,39,48
CARAPARI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,0,0,0,0
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,7,1,7,8
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,8,10,8,10,18
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,19,0,19,19
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,49,66,49,66,115
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,170,614,170,614,784
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,9,28,9,28,37
COLOMI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,1,0,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,2,0,2,2
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,8,10,8,10,18
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,6,1,6,7
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,406,666,406,666,1072
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,18,0,18,18
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,4,1,4,5
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,96,1,96,97
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,4,5,4,5,9
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,0,1,0,1
LA ASUNTA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,3,1,3,4
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,240,662,240,662,902
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,7,6,7,6,13
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,0,2,0,2,2
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,3,1,3,4
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,1,16,1,16,17
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,17,34,17,34,51
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,84,378,84,378,462
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2021-01-01,79,263,79,263,342
