,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,1,2
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,22,0,22
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,4,0,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,47,1,48
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,1,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,5,0,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,10,0,10
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,3,3,6
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,12,0,12
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,20,2,22
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,11,0,11
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,2,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,6,6
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,0,2,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-01-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,4,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,10,1,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,16,1,17
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,3,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,6,1,7
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,5,2,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,5,1,6
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,2,6,8
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,4,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,46,2,48
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,2,0,2
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,4,0,4
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,5,6
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-02-01,8,0,8
BAURES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,1,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,4,2,6
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,17,2,19
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2013-03-01,2,1,3
