,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,1,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,15,15
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,3,3
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,2,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,2,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,104,12,116
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,3,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,34,2,36
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,0,2
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,0,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,8,0,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,5,7,12
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,10,13
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,0,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,3,3
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,14,14
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,41,0,41
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,23,0,23
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,10,12
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,0,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,5,5,10
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,3,6
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,7,0,7
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,1,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,4,2,6
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,11,2,13
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,7,5,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,6,0,6
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,4,2,6
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,5,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,2,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,9,18,27
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,4,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,410,15,425
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,9,2,11
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,45,0,45
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,3,1,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,7,0,7
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,13,1,14
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,2,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,4,7,11
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,25,0,25
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,4,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,1,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,62,0,62
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,4,1,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,4,6,10
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,13,0,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,4,0,4
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,0,2,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-01-01,1,2,3
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,8,0,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,1,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,0,7,7
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,5,6
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,10,0,10
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,3,2,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,3,0,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2013-02-01,13,61,74
