,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,1,3
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,1,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,1,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,4,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,4,0,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,8,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,16,17
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,4,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,3,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,5,6
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,13,9,22
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,179,34,213
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,9,4,13
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,6,2,8
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,11,11
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,13,5,18
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,1,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,206,1,207
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,12,1,13
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,11,3,14
ESCOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,7,4,11
HUACARETA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,8,10
ICHOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,1,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,10,10
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,13,6,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,163,29,192
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,5,5,10
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,1,2
MAIRANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
MALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,5,0,5
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,4,6,10
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,20,0,20
OCURI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,6,6
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,60,1,61
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
PALCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,4,4
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,5,5
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,2,2
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,5,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,27,14,41
PRESTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,2,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,3,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,5,1,6
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,5,4,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,6,0,6
PUNA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,70,5,75
QUIME,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,33,10,43
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,3,0,3
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,9,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,3,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,7,5,12
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,5,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,14,0,14
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2013-01-01,1,3,4
