,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,4,7
ALCALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,8,8
ARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,1,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,9,23,32
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,31,0,31
BAURES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,7,2,9
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,6,6
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,8,8
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,5,2,7
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,0,2
CLIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,19,14,33
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,26,27,53
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,330,101,431
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,16,0,16
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,6,0,6
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,10,0,10
COPACABANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,5,17,22
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,25,42,67
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,164,19,183
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,6,0,6
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,58,15,73
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,6,3,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,24,15,39
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,35,7,42
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,1,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,3,4
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,216,0,216
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,4,0,4
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,13,0,13
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,3,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,11,2,13
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,24,1,25
MORO MORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,6,9
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,4,9,13
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,133,0,133
PADILLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,1,4
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,3,3
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,5,16,21
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,4,6
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,9,11
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,17,10,27
PRESTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,9,0,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,18,22,40
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,25,6,31
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,28,39,67
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,8,0,8
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,6,0,6
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,4,0,4
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,31,2,33
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,18,0,18
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,19,5,24
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,19,24,43
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,20,0,20
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,2,3,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,9,0,9
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,5,6
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,3,4,7
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,4,1,5
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,1,3,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,5,0,5
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 4ta dosis,2013-01-01,0,4,4
