,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,1,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,6,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,1,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,15,3,18
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,3,0,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,18,1,19
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,5,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,9,0,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,19,2,21
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,8,0,8
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,5,6,11
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,6,1,7
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,5,0,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,6,1,7
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,7,0,7
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,3,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,2,3,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,5,0,5
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,9,1,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,3,2,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,6,5,11
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,4,3,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,222,17,239
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,16,0,16
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,2,1,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,9,0,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,4,1,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,1,2,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,6,3,9
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,18,0,18
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-01-01,4,0,4
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,13,0,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,4,3,7
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,3,47,50
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,9,3,12
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,43,8,51
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,6,0,6
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,17,1,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,2,2
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,9,0,9
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,6,6
LURIBAY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,7,7
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,6,0,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,2,1,3
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,2,2
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,4,0,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2013-02-01,0,7,7
