,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,1,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,0,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,1,2
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,9,0,9
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,2,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,3,4
CHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,15,17
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,16,18
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,68,13,81
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,2,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,3,6
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,10,10,20
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,109,4,113
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,9,0,9
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,3,3
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,6,3,9
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,7,9
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,7,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,12,2,14
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,120,27,147
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,0,3
MALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,5,0,5
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,7,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,16,0,16
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,63,4,67
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
PALCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,9,3,12
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,2,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,8,0,8
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,5,3,8
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,12,7,19
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,4,3,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,0,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,3,0,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,2,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,313,47,360
SENA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,5,0,5
SORACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,15,0,15
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,9,2,11
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,9,1,10
TOMAVE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,12,0,12
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,2,4
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,5,0,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,19,2,21
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2013-01-01,4,2,6
