,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,20,0,20
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,20,0,20
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,48,1,49
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,1,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,45,0,45
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,10,0,10
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,1,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,3,3,6
REYES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,12,0,12
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,1,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,31,19,50
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,0,6,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-01-01,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,1,3
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,4,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,14,4,18
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,16,1,17
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,6,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,7,1,8
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,4,2,6
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,5,1,6
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,6,8
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,4,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,56,16,72
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,0,2
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,5,6
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,3,0,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-02-01,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,6,6
BAURES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,7,1,8
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,8,0,8
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2013-03-01,2,0,2
