,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,2,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,1,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,5,6
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,3,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,2,2
CATACORA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,2,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,2,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,223,12,235
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,32,2,34
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,0,2
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,0,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,8,0,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,5,7,12
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,10,13
HUACARETA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,0,3
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,14,14
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,56,0,56
LLICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,7,7
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,6,0,6
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,23,0,23
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,10,11
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,0,3
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,3,6
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,5,1,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,4,2,6
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,11,2,13
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,7,5,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,7,0,7
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,2,4
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,8,8,16
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,5,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,3,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,3,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,9,18,27
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,4,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,372,20,392
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,9,2,11
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,26,0,26
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,3,1,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,7,0,7
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,13,1,14
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,2,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,7,8,15
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,25,0,25
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,3,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,1,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,4,1,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,4,0,4
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,13,0,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,2,0,2
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,0,2,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-01-01,1,2,3
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-02-01,1,0,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-02-01,3,6,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2013-02-01,1,1,2
