municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,15,15
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,8,8
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,21,21
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
MAPIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,7,7
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,2,2
POROMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,3,3
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
SAN LORENZO(PND),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,5,5
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2012-01-01,1,1
