municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2012-01-01,4,4
ACHACACHI,atencion de partos en servicios,vaginales,2012-01-01,29,29
ACHOCALLA,atencion de partos en servicios,vaginales,2012-01-01,7,7
AIQUILE,atencion de partos en servicios,vaginales,2012-01-01,22,22
ALALAY,atencion de partos en servicios,vaginales,2012-01-01,1,1
ALCALA,atencion de partos en servicios,vaginales,2012-01-01,4,4
ALTO BENI,atencion de partos en servicios,vaginales,2012-01-01,15,15
ANCORAIMES,atencion de partos en servicios,vaginales,2012-01-01,8,8
ANTEQUERA,atencion de partos en servicios,vaginales,2012-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2012-01-01,3,3
APOLO,atencion de partos en servicios,vaginales,2012-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,vaginales,2012-01-01,4,4
ARANI,atencion de partos en servicios,vaginales,2012-01-01,5,5
ARBIETO,atencion de partos en servicios,vaginales,2012-01-01,10,10
ARQUE,atencion de partos en servicios,vaginales,2012-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2012-01-01,50,50
ATOCHA,atencion de partos en servicios,vaginales,2012-01-01,11,11
AUCAPATA,atencion de partos en servicios,vaginales,2012-01-01,1,1
AYATA,atencion de partos en servicios,vaginales,2012-01-01,1,1
AYO AYO,atencion de partos en servicios,vaginales,2012-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2012-01-01,14,14
AZURDUY,atencion de partos en servicios,vaginales,2012-01-01,7,7
BATALLAS,atencion de partos en servicios,vaginales,2012-01-01,7,7
BAURES,atencion de partos en servicios,vaginales,2012-01-01,5,5
BELEN DE ANDAMARCA,atencion de partos en servicios,vaginales,2012-01-01,2,2
BERMEJO,atencion de partos en servicios,vaginales,2012-01-01,24,24
BETANZOS,atencion de partos en servicios,vaginales,2012-01-01,18,18
BOLIVAR,atencion de partos en servicios,vaginales,2012-01-01,1,1
BOYUIBE,atencion de partos en servicios,vaginales,2012-01-01,4,4
BUENA VISTA,atencion de partos en servicios,vaginales,2012-01-01,9,9
