municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2012-01-01,4,4
ACHACACHI,atencion de partos en servicios,nacidos vivos,2012-01-01,33,33
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2012-01-01,7,7
AIQUILE,atencion de partos en servicios,nacidos vivos,2012-01-01,27,27
ALALAY,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
ALCALA,atencion de partos en servicios,nacidos vivos,2012-01-01,4,4
ALTO BENI,atencion de partos en servicios,nacidos vivos,2012-01-01,15,15
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2012-01-01,8,8
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2012-01-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2012-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2012-01-01,4,4
ARANI,atencion de partos en servicios,nacidos vivos,2012-01-01,5,5
ARBIETO,atencion de partos en servicios,nacidos vivos,2012-01-01,10,10
ARQUE,atencion de partos en servicios,nacidos vivos,2012-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2012-01-01,55,55
ATOCHA,atencion de partos en servicios,nacidos vivos,2012-01-01,11,11
AUCAPATA,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
AYATA,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
AYO AYO,atencion de partos en servicios,nacidos vivos,2012-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2012-01-01,13,13
AZURDUY,atencion de partos en servicios,nacidos vivos,2012-01-01,8,8
BATALLAS,atencion de partos en servicios,nacidos vivos,2012-01-01,7,7
BAURES,atencion de partos en servicios,nacidos vivos,2012-01-01,7,7
BELEN DE ANDAMARCA,atencion de partos en servicios,nacidos vivos,2012-01-01,2,2
BERMEJO,atencion de partos en servicios,nacidos vivos,2012-01-01,42,42
BETANZOS,atencion de partos en servicios,nacidos vivos,2012-01-01,18,18
BOLIVAR,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos vivos,2012-01-01,4,4
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2012-01-01,9,9
CABEZAS,atencion de partos en servicios,nacidos vivos,2012-01-01,19,19
CAIROMA,atencion de partos en servicios,nacidos vivos,2012-01-01,9,9
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2012-01-01,3,3
CAJUATA,atencion de partos en servicios,nacidos vivos,2012-01-01,4,4
CALACOTO,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
CALAMARCA,atencion de partos en servicios,nacidos vivos,2012-01-01,5,5
CAMARGO,atencion de partos en servicios,nacidos vivos,2012-01-01,29,29
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2012-01-01,4,4
CAMIRI,atencion de partos en servicios,nacidos vivos,2012-01-01,124,124
CAPINOTA,atencion de partos en servicios,nacidos vivos,2012-01-01,21,21
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2012-01-01,3,3
CARACOLLO,atencion de partos en servicios,nacidos vivos,2012-01-01,14,14
CARANAVI,atencion de partos en servicios,nacidos vivos,2012-01-01,72,72
CARAPARI,atencion de partos en servicios,nacidos vivos,2012-01-01,8,8
CARIPUYO,atencion de partos en servicios,nacidos vivos,2012-01-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2012-01-01,5,5
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2012-01-01,41,41
CHARAGUA,atencion de partos en servicios,nacidos vivos,2012-01-01,51,51
CHARAÑA,atencion de partos en servicios,nacidos vivos,2012-01-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos vivos,2012-01-01,10,10
CHIMORE,atencion de partos en servicios,nacidos vivos,2012-01-01,13,13
CHIPAYA,atencion de partos en servicios,nacidos vivos,2012-01-01,2,2
