municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,7,7
COLPA BELGICA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,3,3
LA ASUNTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,15,15
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,11,11
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,17,17
SHINAOTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2021-01-01,2,2
