municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
ALTO BENI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
ANDAMARCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
AZURDUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
BAURES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CAJUATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,6,6
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,56,56
COLOMI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
COLQUECHACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COLQUIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,46,46
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,76,76
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,5,5
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,10,10
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,25,25
PADCAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PAMPA AULLAGAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,29,29
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,23,23
SACABA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,4,4
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,8,8
SAN JAVIER(STC),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
SAN MATIAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,14,14
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN PEDRO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN RAFAEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2021-01-01,3,3
