municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2021-01-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos vivos,2021-01-01,35,35
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2021-01-01,6,6
AIQUILE,atencion de partos en servicios,nacidos vivos,2021-01-01,26,26
ALALAY,atencion de partos en servicios,nacidos vivos,2021-01-01,1,1
ALCALA,atencion de partos en servicios,nacidos vivos,2021-01-01,1,1
ALTO BENI,atencion de partos en servicios,nacidos vivos,2021-01-01,7,7
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2021-01-01,4,4
ANZALDO,atencion de partos en servicios,nacidos vivos,2021-01-01,2,2
APOLO,atencion de partos en servicios,nacidos vivos,2021-01-01,12,12
ARANI,atencion de partos en servicios,nacidos vivos,2021-01-01,4,4
ARBIETO,atencion de partos en servicios,nacidos vivos,2021-01-01,9,9
ARQUE,atencion de partos en servicios,nacidos vivos,2021-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2021-01-01,45,45
ATOCHA,atencion de partos en servicios,nacidos vivos,2021-01-01,5,5
AUCAPATA,atencion de partos en servicios,nacidos vivos,2021-01-01,4,4
AYATA,atencion de partos en servicios,nacidos vivos,2021-01-01,2,2
AYO AYO,atencion de partos en servicios,nacidos vivos,2021-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2021-01-01,18,18
AZURDUY,atencion de partos en servicios,nacidos vivos,2021-01-01,12,12
BATALLAS,atencion de partos en servicios,nacidos vivos,2021-01-01,9,9
BAURES,atencion de partos en servicios,nacidos vivos,2021-01-01,3,3
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2021-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2021-01-01,49,49
BETANZOS,atencion de partos en servicios,nacidos vivos,2021-01-01,21,21
BOYUIBE,atencion de partos en servicios,nacidos vivos,2021-01-01,2,2
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2021-01-01,9,9
CABEZAS,atencion de partos en servicios,nacidos vivos,2021-01-01,13,13
CAIROMA,atencion de partos en servicios,nacidos vivos,2021-01-01,7,7
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2021-01-01,6,6
CAJUATA,atencion de partos en servicios,nacidos vivos,2021-01-01,20,20
CALACOTO,atencion de partos en servicios,nacidos vivos,2021-01-01,1,1
