municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ALALAY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
APOLO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,44,44
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
AUCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
AYATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
AZURDUY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
BATALLAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,8,8
BAURES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
BELLA FLOR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,7,7
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,9,9
CAIROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
CAJUATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
CAMARGO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,34,34
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,6,6
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,5,5
CARIPUYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
CHALLAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
CHARAGUA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,11,11
CHIMORE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
CHUA COCANI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
CKOCHAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
COBIJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
COCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
COCHABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,107,107
COLLANA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
COLQUECHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
COMARAPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,30,30
COTAGAITA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,25,25
CUEVO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
CULPINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
EL ALTO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,56,56
EL CHORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
EL VILLAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,5,5
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,16,16
FERNANDEZ ALONSO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
FILADELFIA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
GUANAY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
GUTIERREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,7,7
HUACARETA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
HUACHACALLA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
HUARACAJE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
LA ASUNTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,14,14
LA PAZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,16,16
LAGUNILLAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
LLICA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
LORETO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
LURIBAY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
MACHARETI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
MAGDALENA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,8,8
MAPIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
MECAPACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
MINEROS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
MIZQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,5,5
MONTEAGUDO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,28,28
MONTERO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,92,92
MORO MORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
MOROCHATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
OKINAWA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,7,7
OMEREQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
ORURO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
PADCAYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
PAILON,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,24,24
PALCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
PALOS BLANCOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,5,5
PAMPA AULLAGAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
PAMPA GRANDE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
PASORAPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
PAZÑA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
POCOATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
POCONA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,14,14
POJO (CBBA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
POROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
PORVENIR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
POTOSI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
PUCARANI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,4,4
PUERTO ACOSTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,33,33
PUERTO VILLARROEL,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
PUNA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,7,7
PUNATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,11,11
RIBERALTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,5,5
ROBORE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,20,20
RURRENABAQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,26,26
SABAYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
SACABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
SAIPINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,2,2
SAN ANDRES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
SAN BENITO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,5,5
SAN BORJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,3,3
SAN BUENA VENTURA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
SAN CARLOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,16,16
SAN IGNACIO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2021-01-01,14,14
